,YearMonth,fiat_type,Buy,Sell
0,2023-01,USD,74263.13,540.0
1,2023-01,UYU,101768.33,0.0
2,2023-02,USD,52275.24,0.0
3,2023-03,USD,52827.65,0.0
4,2023-03,UYU,98968.31,0.0
5,2023-04,USD,24821.329999999998,100.0
6,2023-04,UYU,0.0,562416.41
7,2023-05,USD,31815.47,43654.49
8,2023-05,UYU,0.0,169072.2
9,2023-06,USD,68747.06,69530.24
10,2023-07,USD,60450.340000000004,35906.26
11,2023-08,USD,88463.48,16095.01
12,2023-09,USD,50907.7,15707.14
13,2023-10,USD,56709.72,42684.01
14,2023-11,USD,15911.48,85887.58
15,2023-11,UYU,0.0,337286.48
16,2023-12,USD,33809.42,141353.33
17,2023-12,UYU,0.0,1391607.96
