Counterparty,total_ops,completion_rate,cancellation_rate,timing_variability_hours,volume_consistency,efficiency_score
P2P-a8323cji,1,0.0,100.0,,,
P2P-5de988uv,1,0.0,100.0,,,
P2P-bf6eecot,1,0.0,100.0,,,
Christian,1,0.0,100.0,,,
P2P-5249e3nq,1,0.0,100.0,,,
chelo,1,0.0,100.0,,,
P2P-06cf0eb7,1,0.0,100.0,,,
JorgePerozo,1,0.0,100.0,,,
P2P-549f87mf,1,0.0,100.0,,,
P2P-f098e2bh,1,0.0,100.0,,,
P2P-2912c707,1,0.0,100.0,,,
P2P-e5e102xw,1,0.0,100.0,,,
P2P-7d10eehy,1,0.0,100.0,,,
P2P-497a2as0,1,0.0,100.0,,,
P2P-3ceb7abv,1,0.0,100.0,,,
P2P-0c9aaaxh,1,0.0,100.0,,,
P2P-641ec0rg,1,0.0,100.0,,,
P2P-3dca90jq,1,0.0,100.0,,,
P2P-6c79d2ws,1,0.0,100.0,,,
P2P-64f581sr,1,0.0,100.0,,,
P2P-f979d8yq,1,0.0,100.0,,,
P2P-7853865x,1,0.0,100.0,,,
AgustinMoreira,1,0.0,100.0,,,
P2P-f75848v6,1,0.0,100.0,,,
P2P-a3e0664r,1,0.0,100.0,,,
P2P-2f438e0q,1,0.0,100.0,,,
P2P-181cf8np,1,0.0,100.0,,,
P2P-6aed9d74,1,0.0,100.0,,,
P2P-81f0e1ru,1,0.0,100.0,,,
P2P-6ba210ay,1,0.0,100.0,,,
P2P-b288d9dc,1,0.0,100.0,,,
P2P-a1e404h2,1,0.0,100.0,,,
P2P-76b381xc,1,0.0,100.0,,,
P2P-9b9f5fqt,1,0.0,100.0,,,
P2P-5485474r,1,0.0,100.0,,,
P2P-c498ee3q,1,0.0,100.0,,,
P2P-4a4762je,1,0.0,100.0,,,
P2P-9c2db2zh,1,0.0,100.0,,,
P2P-b19fd5fi,1,0.0,100.0,,,
P2P-a8a629np,1,0.0,100.0,,,
P2P-990840cs,1,0.0,100.0,,,
Zyskie,1,0.0,100.0,,,
P2P-7b4cc2q5,1,0.0,100.0,,,
Agucrypto,1,0.0,100.0,,,
SebaCripto,1,0.0,100.0,,,
P2P-c28e3bgg,1,0.0,100.0,,,
fbarrios,1,0.0,100.0,,,
