Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv
P2P-2efb3agn,1,117000.0,117000.0,117000.0,2657.27,44.03,,2025-05-10T21:46:42.000000-0300,2025-05-10T21:46:42.000000-0300,1,1,0,1.0,117000.0,
BolsoChange,2,110300.0,55150.0,55150.0,5619.83,22.1495,29.840613272853492,2025-05-24T15:51:09.000000-0300,2025-05-25T20:33:49.000000-0300,1,1,1,1.0,55150.0,1.3472364284906428
P2P-72528fj9,1,105718.14,105718.14,105718.14,2470.05,42.8,,2025-05-23T19:51:39.000000-0300,2025-05-23T19:51:39.000000-0300,1,1,0,1.0,105718.14,
P2P-0dc8a3t7,1,94000.0,94000.0,94000.0,2000.0,47.0,,2025-04-09T20:09:23.000000-0300,2025-04-09T20:09:23.000000-0300,1,1,0,1.0,94000.0,
P2P-863acelf,3,90000.0,30000.0,30000.0,1987.19,45.29333333333333,0.5080682368868711,2025-04-28T18:01:00.000000-0300,2025-04-28T23:03:18.000000-0300,2,1,0,3.0,90000.0,0.011217285182960062
P2P-2e4c1f9q,2,86086.54999999999,43043.274999999994,43043.274999999994,1900.1,45.655,1.8738329701443475,2025-03-29T15:40:10.000000-0300,2025-04-08T17:10:13.000000-0300,1,1,10,0.18181818181818182,7826.049999999999,0.041043324283087226
P2P-d14daccb,1,79955.0,79955.0,79955.0,1701.89,46.98,,2025-04-08T18:39:58.000000-0300,2025-04-08T18:39:58.000000-0300,1,1,0,1.0,79955.0,
P2P-9bf649pi,2,75283.32,37641.66,37641.66,1602.4499999999998,46.98,0.0,2025-04-08T17:06:30.000000-0300,2025-04-08T18:31:05.000000-0300,1,1,0,2.0,75283.32,0.0
P2P-6bd909ei,1,66000.0,66000.0,66000.0,1454.38,45.38,,2025-04-28T14:24:16.000000-0300,2025-04-28T14:24:16.000000-0300,1,1,0,1.0,66000.0,
P2P-17e72ffv,4,64442.619999999995,16110.654999999999,16110.654999999999,1390.6399999999999,46.34,0.0,2025-04-06T17:48:48.000000-0300,2025-04-06T18:35:20.000000-0300,1,1,0,4.0,64442.619999999995,0.0
P2P-2eea6665,2,63000.0,31500.0,31500.0,1347.87,46.74,0.0,2025-04-14T19:55:43.000000-0300,2025-04-14T20:34:40.000000-0300,1,1,0,2.0,63000.0,0.0
arielo,1,62000.0,62000.0,62000.0,1387.02,44.7,,2025-03-19T19:29:37.000000-0300,2025-03-19T19:29:37.000000-0300,1,1,0,1.0,62000.0,
P2P-26e006xl,1,60000.0,60000.0,60000.0,1371.11,43.76,,2025-05-27T20:43:43.000000-0300,2025-05-27T20:43:43.000000-0300,1,1,0,1.0,60000.0,
P2P-3b48abgq,3,57367.22,19122.406666666666,22000.0,1295.51,44.31666666666666,0.2020725942163647,2025-03-31T15:13:21.000000-0300,2025-04-03T15:53:42.000000-0300,1,1,3,0.75,14341.805,0.004559742629929252
P2P-5485474r,1,55377.21,55377.21,55377.21,1250.05,44.3,,2025-03-29T20:02:22.000000-0300,2025-03-29T20:02:22.000000-0300,1,1,0,1.0,55377.21,
P2P-549f87mf,1,55092.97,55092.97,55092.97,1185.05,46.49,,2025-04-07T15:11:25.000000-0300,2025-04-07T15:11:25.000000-0300,1,1,0,1.0,55092.97,
P2P-eb9a1db5,1,54375.64,54375.64,54375.64,1235.81,44.0,,2025-05-05T18:49:26.000000-0300,2025-05-05T18:49:26.000000-0300,1,1,0,1.0,54375.64,
P2P-bf6eecot,1,53746.98,53746.98,53746.98,1201.05,44.75,,2025-04-01T18:42:36.000000-0300,2025-04-01T18:42:36.000000-0300,1,1,0,1.0,53746.98,
P2P-5249e3nq,1,53674.92,53674.92,53674.92,1201.05,44.69,,2025-04-01T19:59:11.000000-0300,2025-04-01T19:59:11.000000-0300,1,1,0,1.0,53674.92,
