Counterparty,payment_method,operations_with_method,volume_with_method,avg_volume_with_method,total_operations_cp,total_volume_cp,pct_operations,pct_volume
Agucrypto,ItauUruguay,1,6655.0,6655.0,1,6655.0,100.0,100.0
AgustinMoreira,RedPagos,1,5000.0,5000.0,1,5000.0,100.0,100.0
ArmanddUSDT,ScotiabankUruguay,1,12000.0,12000.0,1,12000.0,100.0,100.0
BolsoChange,BBVAUruguay,2,110300.0,55150.0,2,110300.0,100.0,100.0
CRYPTOURU,SantanderUrug,4,37000.0,9250.0,4,37000.0,100.0,100.0
Christian,SantanderUrug,1,105.0,105.0,1,105.0,100.0,100.0
Cryptoagil,,2,1200.0,600.0,2,1200.0,100.0,100.0
DTJUY,SantanderUrug,1,15000.0,15000.0,1,15000.0,100.0,100.0
Elhombregsto,OcaBlue,1,20000.0,20000.0,1,20000.0,100.0,100.0
Falvez86,SantanderUrug,1,9448.04,9448.04,1,9448.04,100.0,100.0
Ganamosss,OcaBlue,1,20000.0,20000.0,1,20000.0,100.0,100.0
GulagGhost,ItauUruguay,2,600.0,300.0,2,600.0,100.0,100.0
JaviCambio,OcaBlue,1,10982.25,10982.25,1,10982.25,100.0,100.0
JorgePerozo,SantanderUrug,1,208.25,208.25,1,208.25,100.0,100.0
Juan,ItauUruguay,1,365.0,365.0,1,365.0,100.0,100.0
Lorenzetti-17,SantanderUrug,1,15254.66,15254.66,1,15254.66,100.0,100.0
Ludopata,,1,500.0,500.0,1,500.0,100.0,100.0
MCriptoUru_,ItauUruguay,1,18241.0,18241.0,1,18241.0,100.0,100.0
Mi_Querencia,ItauUruguay,1,5580.0,5580.0,1,5580.0,100.0,100.0
NicoGonzalezUy,ScotiabankUruguay,1,21902.19,21902.19,1,21902.19,100.0,100.0
P2P-06cf0eb7,SantanderUrug,1,23074.74,23074.74,1,23074.74,100.0,100.0
P2P-06f7efvb,ItauUruguay,1,103.65,103.65,1,103.65,100.0,100.0
P2P-0c9aaaxh,ItauUruguay,1,8200.0,8200.0,1,8200.0,100.0,100.0
P2P-0dc8a3t7,OcaBlue,1,94000.0,94000.0,1,94000.0,100.0,100.0
P2P-11c417u1,ItauUruguay,1,38500.0,38500.0,1,38500.0,100.0,100.0
P2P-13997bfq,BankRepublicUruguay,1,8000.0,8000.0,1,8000.0,100.0,100.0
P2P-1796acve,ItauUruguay,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-17e72ffv,OcaBlue,4,64442.619999999995,16110.654999999999,4,64442.619999999995,100.0,100.0
P2P-181cf8np,ItauUruguay,1,43000.0,43000.0,1,43000.0,100.0,100.0
P2P-1c3aebzm,ItauUruguay,1,150.0,150.0,1,150.0,100.0,100.0
P2P-1fd30axl,ItauUruguay,1,2000.0,2000.0,1,2000.0,100.0,100.0
P2P-21c2c6qo,ItauUruguay,1,4562.28,4562.28,1,4562.28,100.0,100.0
P2P-26e006xl,OcaBlue,1,60000.0,60000.0,1,60000.0,100.0,100.0
P2P-2912c707,SantanderUrug,1,20000.0,20000.0,1,20000.0,100.0,100.0
P2P-296841xk,ScotiabankUruguay,2,30082.269999999997,15041.134999999998,2,30082.269999999997,100.0,100.0
P2P-2b04dcyl,OcaBlue,1,8000.0,8000.0,1,8000.0,100.0,100.0
P2P-2c9a22fw,OcaBlue,1,37841.6,37841.6,1,37841.6,100.0,100.0
P2P-2caf952c,SantanderUrug,1,21789.0,21789.0,1,21789.0,100.0,100.0
P2P-2e4c1f9q,ScotiabankUruguay,2,86086.54999999999,43043.274999999994,2,86086.54999999999,100.0,100.0
P2P-2eea6665,ItauUruguay,2,63000.0,31500.0,2,63000.0,100.0,100.0
P2P-2efb3agn,ItauUruguay,1,117000.0,117000.0,1,117000.0,100.0,100.0
P2P-2f438e0q,OcaBlue,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-306869s8,SantanderUrug,1,16000.0,16000.0,1,16000.0,100.0,100.0
P2P-316feaqf,OcaBlue,1,37841.6,37841.6,1,37841.6,100.0,100.0
P2P-31cab5ok,BBVAUruguay,1,44000.0,44000.0,1,44000.0,100.0,100.0
P2P-320874cy,SantanderUrug,2,13750.0,6875.0,2,13750.0,100.0,100.0
P2P-3380aeeq,BBVAUruguay,1,5500.0,5500.0,1,5500.0,100.0,100.0
P2P-3804d0yt,SantanderUrug,1,13800.0,13800.0,1,13800.0,100.0,100.0
P2P-39d1bcn0,BBVAUruguay,1,13000.0,13000.0,1,13000.0,100.0,100.0
P2P-3b48abgq,ItauUruguay,3,57367.22,19122.406666666666,3,57367.22,100.0,100.0
P2P-3ba6absy,ItauUruguay,1,4900.0,4900.0,1,4900.0,100.0,100.0
P2P-3ceb7abv,ItauUruguay,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-3d1176to,BBVAUruguay,1,300.0,300.0,1,300.0,100.0,100.0
P2P-3d94c5q9,SantanderUrug,1,6500.0,6500.0,1,6500.0,100.0,100.0
P2P-3db9b5mh,OcaBlue,1,40000.0,40000.0,1,40000.0,100.0,100.0
P2P-3dca90jq,BBVAUruguay,1,736.32,736.32,1,736.32,100.0,100.0
P2P-3e70287h,SantanderUrug,1,4000.0,4000.0,1,4000.0,100.0,100.0
P2P-416c79m4,SantanderUrug,1,23257.44,23257.44,1,23257.44,100.0,100.0
P2P-43f9a3wy,OcaBlue,1,15000.0,15000.0,1,15000.0,100.0,100.0
P2P-497a2as0,OcaBlue,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-4a4762je,SantanderUrug,1,6243.06,6243.06,1,6243.06,100.0,100.0
P2P-4f49c1qz,ItauUruguay,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-5190edir,OcaBlue,2,45914.69,22957.345,2,45914.69,100.0,100.0
P2P-5249e3nq,SantanderUrug,1,53674.92,53674.92,1,53674.92,100.0,100.0
P2P-52dcddtt,OcaBlue,1,30539.34,30539.34,1,30539.34,100.0,100.0
P2P-540afaog,OcaBlue,2,33500.0,16750.0,2,33500.0,100.0,100.0
