Counterparty,year_month,monthly_operations,monthly_volume,avg_monthly_volume,payment_methods_monthly
Agucrypto,2025-05,1,6655.0,6655.0,1
AgustinMoreira,2025-03,1,5000.0,5000.0,1
ArmanddUSDT,2025-03,1,12000.0,12000.0,1
BolsoChange,2025-05,2,110300.0,55150.0,1
CRYPTOURU,2025-03,1,12000.0,12000.0,1
CRYPTOURU,2025-04,1,5000.0,5000.0,1
CRYPTOURU,2025-05,2,20000.0,10000.0,1
Christian,2025-05,1,105.0,105.0,1
Cryptoagil,2024-07,2,1200.0,600.0,1
DTJUY,2025-03,1,15000.0,15000.0,1
Elhombregsto,2025-04,1,20000.0,20000.0,1
Falvez86,2025-03,1,9448.04,9448.04,1
Ganamosss,2025-03,1,20000.0,20000.0,1
GulagGhost,2025-05,2,600.0,300.0,1
JaviCambio,2025-04,1,10982.25,10982.25,1
JorgePerozo,2025-05,1,208.25,208.25,1
Juan,2024-07,1,365.0,365.0,1
Lorenzetti-17,2025-04,1,15254.66,15254.66,1
Ludopata,2024-07,1,500.0,500.0,1
MCriptoUru_,2025-04,1,18241.0,18241.0,1
Mi_Querencia,2025-04,1,5580.0,5580.0,1
NicoGonzalezUy,2025-05,1,21902.19,21902.19,1
P2P-06cf0eb7,2025-04,1,23074.74,23074.74,1
P2P-06f7efvb,2025-05,1,103.65,103.65,1
P2P-0c9aaaxh,2025-03,1,8200.0,8200.0,1
P2P-0dc8a3t7,2025-04,1,94000.0,94000.0,1
P2P-11c417u1,2025-04,1,38500.0,38500.0,1
P2P-13997bfq,2025-05,1,8000.0,8000.0,1
P2P-1796acve,2025-05,1,10000.0,10000.0,1
P2P-17e72ffv,2025-04,4,64442.619999999995,16110.654999999999,1
P2P-181cf8np,2025-05,1,43000.0,43000.0,1
P2P-1c3aebzm,2025-03,1,150.0,150.0,1
P2P-1fd30axl,2025-05,1,2000.0,2000.0,1
P2P-21c2c6qo,2025-04,1,4562.28,4562.28,1
P2P-26e006xl,2025-05,1,60000.0,60000.0,1
P2P-2912c707,2025-05,1,20000.0,20000.0,1
P2P-296841xk,2025-04,2,30082.269999999997,15041.134999999998,1
P2P-2b04dcyl,2025-05,1,8000.0,8000.0,1
P2P-2c9a22fw,2025-04,1,37841.6,37841.6,1
P2P-2caf952c,2025-03,1,21789.0,21789.0,1
P2P-2e4c1f9q,2025-03,1,53198.21,53198.21,1
P2P-2e4c1f9q,2025-04,1,32888.34,32888.34,1
P2P-2eea6665,2025-04,2,63000.0,31500.0,1
P2P-2efb3agn,2025-05,1,117000.0,117000.0,1
P2P-2f438e0q,2025-04,1,5000.0,5000.0,1
P2P-306869s8,2025-05,1,16000.0,16000.0,1
P2P-316feaqf,2025-04,1,37841.6,37841.6,1
P2P-31cab5ok,2025-05,1,44000.0,44000.0,1
P2P-320874cy,2025-05,2,13750.0,6875.0,1
P2P-3380aeeq,2025-04,1,5500.0,5500.0,1
P2P-3804d0yt,2025-03,1,13800.0,13800.0,1
P2P-39d1bcn0,2025-04,1,13000.0,13000.0,1
P2P-3b48abgq,2025-03,2,44000.0,22000.0,1
P2P-3b48abgq,2025-04,1,13367.22,13367.22,1
P2P-3ba6absy,2025-04,1,4900.0,4900.0,1
P2P-3ceb7abv,2025-04,1,10000.0,10000.0,1
P2P-3d1176to,2025-05,1,300.0,300.0,1
P2P-3d94c5q9,2025-05,1,6500.0,6500.0,1
P2P-3db9b5mh,2025-04,1,40000.0,40000.0,1
P2P-3dca90jq,2025-05,1,736.32,736.32,1
P2P-3e70287h,2025-04,1,4000.0,4000.0,1
P2P-416c79m4,2025-04,1,23257.44,23257.44,1
P2P-43f9a3wy,2025-04,1,15000.0,15000.0,1
P2P-497a2as0,2025-03,1,10000.0,10000.0,1
P2P-4a4762je,2025-04,1,6243.06,6243.06,1
P2P-4f49c1qz,2025-05,1,5000.0,5000.0,1
