Counterparty,most_active_hour,most_active_weekday_int,hour_spread,unique_hour_day_combinations,most_active_weekday_name
P2P-f8a5fcbs,20,1,0,1,Lunes
P2P-863acelf,18,1,5,2,Lunes
P2P-8ee834xt,13,5,0,1,Viernes
P2P-b46c86hw,13,3,0,1,Miércoles
P2P-ae7b0fif,16,4,0,1,Jueves
P2P-9c2db2zh,19,2,0,1,Martes
P2P-3b48abgq,15,1,0,2,Lunes
P2P-3d94c5q9,22,7,0,1,Domingo
P2P-17e72ffv,18,7,1,2,Domingo
P2P-91057azg,21,3,0,1,Miércoles
P2P-adaaf6mb,15,1,0,1,Lunes
P2P-3e70287h,14,2,0,1,Martes
P2P-540afaog,19,2,2,2,Martes
P2P-9b9f5fqt,16,5,0,1,Viernes
Zyskie,23,7,0,1,Domingo
P2P-a1e404h2,16,3,0,1,Miércoles
P2P-9bf649pi,17,2,1,2,Martes
P2P-eb9a1db5,18,1,0,1,Lunes
P2P-62b1d38x,12,4,0,1,Jueves
ArmanddUSDT,19,2,0,1,Martes
P2P-13997bfq,20,1,0,1,Lunes
P2P-ee12052y,16,1,0,1,Lunes
P2P-abb7fctk,13,5,0,1,Viernes
fbarrios,0,2,0,1,Martes
P2P-b4c861qe,20,1,0,1,Lunes
JorgePerozo,14,6,0,1,Sábado
P2P-d14daccb,18,2,0,1,Martes
P2P-ce9ad80r,16,5,0,1,Viernes
P2P-1c3aebzm,12,1,0,1,Lunes
P2P-d3325cfj,11,2,3,2,Martes
P2P-6c79d2ws,21,3,0,1,Miércoles
P2P-8d106fyd,0,7,0,1,Domingo
P2P-7b4cc2q5,19,1,0,1,Lunes
P2P-2efb3agn,21,6,0,1,Sábado
P2P-ee3e94uv,13,3,0,1,Miércoles
P2P-8dfecavb,12,2,7,2,Martes
P2P-85f40bca,12,4,0,1,Jueves
P2P-c61f9dvk,0,2,0,1,Martes
P2P-6d8f04rk,17,3,0,1,Miércoles
P2P-3dca90jq,14,1,0,1,Lunes
P2P-2caf952c,20,2,0,1,Martes
P2P-756ddemc,22,3,7,2,Miércoles
P2P-f1cdffvf,19,4,9,3,Jueves
rmendez78,18,3,0,1,Miércoles
P2P-52dcddtt,16,2,0,1,Martes
Secure-n-Fast,21,5,0,1,Viernes
P2P-416c79m4,16,2,0,1,Martes
P2P-5249e3nq,19,2,0,1,Martes
CRYPTOURU,14,4,8,4,Jueves
AgustinMoreira,16,2,0,1,Martes
P2P-ff54fa0s,17,2,0,1,Martes
P2P-549f87mf,15,1,0,1,Lunes
P2P-26e006xl,20,2,0,1,Martes
P2P-cb4aacxy,13,4,0,1,Jueves
P2P-901346g0,18,7,0,1,Domingo
BolsoChange,20,6,5,2,Sábado
P2P-990840cs,13,1,0,1,Lunes
UruguayChange,18,4,0,1,Jueves
P2P-a8323cji,20,7,0,1,Domingo
DTJUY,21,2,0,1,Martes
deoh23,15,2,0,1,Martes
P2P-eaef2b3q,17,2,0,1,Martes
P2P-cc12c4gn,21,2,0,1,Martes
derkodierer,15,5,0,1,Viernes
P2P-f75848v6,20,7,0,1,Domingo
P2P-7d4ea08o,20,7,4,2,Domingo
P2P-6bd909ei,14,1,0,1,Lunes
P2P-cdf4eefj,20,2,0,1,Martes
P2P-ec17d7ic,19,4,0,1,Jueves
P2P-bf6eecot,18,2,0,1,Martes
P2P-aad9deml,20,2,0,1,Martes
P2P-2912c707,22,2,0,1,Martes
P2P-f979d8yq,16,5,0,1,Viernes
Falvez86,15,4,0,1,Jueves
P2P-e95c93ib,17,5,0,1,Viernes
P2P-6b5571x4,11,2,0,1,Martes
chelo,20,4,0,1,Jueves
P2P-9680313t,17,3,0,1,Miércoles
P2P-fbbb88zh,12,5,0,1,Viernes
P2P-6ba210ay,16,5,0,1,Viernes
juanisantana,1,4,0,1,Jueves
P2P-2f438e0q,20,3,0,1,Miércoles
P2P-a3e0664r,14,1,0,1,Lunes
P2P-688f27in,19,1,0,1,Lunes
P2P-181cf8np,15,4,0,1,Jueves
P2P-c2ec99nk,12,2,0,1,Martes
P2P-3d1176to,14,1,0,1,Lunes
P2P-320874cy,12,5,5,2,Viernes
P2P-a54b1fiz,21,1,0,1,Lunes
P2P-6cc015hc,13,1,0,1,Lunes
P2P-b288d9dc,20,4,0,1,Jueves
P2P-11c417u1,18,3,0,1,Miércoles
Cryptoagil,15,5,0,1,Viernes
P2P-910f6dcw,19,3,0,1,Miércoles
Rikimaffei,6,7,0,1,Domingo
P2P-6dca87kb,21,3,0,1,Miércoles
Lorenzetti-17,19,3,0,1,Miércoles
pabliito07,19,2,0,1,Martes
P2P-c9b50df9,14,3,8,2,Miércoles
P2P-2b04dcyl,4,7,0,1,Domingo
MCriptoUru_,18,7,0,1,Domingo
P2P-d531f4lo,21,2,0,1,Martes
P2P-641ec0rg,15,6,0,1,Sábado
P2P-6a9e59sy,17,2,0,1,Martes
P2P-7d10eehy,16,4,0,1,Jueves
P2P-ab01a3gj,18,1,0,1,Lunes
arielo,19,3,0,1,Miércoles
Juan,13,6,0,1,Sábado
P2P-06cf0eb7,14,3,0,1,Miércoles
P2P-7d6773bi,16,6,0,1,Sábado
P2P-6aed9d74,15,1,0,1,Lunes
Mi_Querencia,14,4,0,1,Jueves
P2P-316feaqf,19,3,0,1,Miércoles
Ludopata,20,6,0,1,Sábado
P2P-b81178qo,14,4,0,1,Jueves
Christian,15,1,0,1,Lunes
P2P-31cab5ok,21,1,0,1,Lunes
P2P-4f49c1qz,21,1,0,1,Lunes
P2P-21c2c6qo,22,5,0,1,Viernes
P2P-a8a629np,13,3,0,1,Miércoles
P2P-5485474r,20,6,0,1,Sábado
P2P-e097b84k,17,1,0,1,Lunes
P2P-72528fj9,19,5,0,1,Viernes
P2P-db4843fh,16,5,0,1,Viernes
P2P-1fd30axl,15,4,0,1,Jueves
SebaCripto,22,7,0,1,Domingo
P2P-daf17dok,17,2,0,1,Martes
P2P-76b381xc,22,5,0,1,Viernes
P2P-79dedcwc,19,1,0,1,Lunes
P2P-3ba6absy,15,3,0,1,Miércoles
JaviCambio,22,3,0,1,Miércoles
P2P-06f7efvb,19,3,0,1,Miércoles
P2P-f098e2bh,1,5,0,1,Viernes
P2P-5ff10350,20,1,0,1,Lunes
P2P-55cdd7ej,17,2,0,1,Martes
P2P-3db9b5mh,20,3,0,1,Miércoles
P2P-5cee5cyo,18,4,0,1,Jueves
Ganamosss,21,5,0,1,Viernes
P2P-c28e3bgg,23,5,0,1,Viernes
P2P-43f9a3wy,16,1,0,1,Lunes
P2P-d6fe8d6c,18,2,0,1,Martes
P2P-eafc4fyo,14,1,0,1,Lunes
facundo_cardona,12,1,0,1,Lunes
P2P-5f308diy,19,7,0,1,Domingo
P2P-2e4c1f9q,15,6,2,2,Sábado
P2P-7853865x,13,3,0,1,Miércoles
P2P-3804d0yt,22,2,0,1,Martes
P2P-e5e102xw,12,1,0,1,Lunes
P2P-0c9aaaxh,17,2,0,1,Martes
P2P-d08921gg,18,1,0,1,Lunes
Agucrypto,23,1,0,1,Lunes
P2P-1796acve,13,1,0,1,Lunes
P2P-81f0e1ru,14,4,0,1,Jueves
GulagGhost,18,2,0,1,Martes
P2P-497a2as0,15,1,0,1,Lunes
hrgonzalez7,19,1,0,1,Lunes
P2P-9270afkm,19,3,0,1,Miércoles
P2P-b19fd5fi,20,3,0,1,Miércoles
Elhombregsto,16,3,0,1,Miércoles
P2P-296841xk,22,4,2,2,Jueves
P2P-3380aeeq,19,5,0,1,Viernes
