Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv,high_volume_vip,high_frequency_vip,daily_trader,long_term_trader,vip_score,vip_tier
P2P-863acelf,3,90000.0,30000.0,30000.0,1987.19,45.29333333333333,0.5080682368868711,2025-04-28T18:01:00.000000-0300,2025-04-28T23:03:18.000000-0300,2,1,0,3.0,90000.0,0.011217285182960062,true,true,true,false,74.0,Gold
P2P-2e4c1f9q,2,86086.54999999999,43043.274999999994,43043.274999999994,1900.1,45.655,1.8738329701443475,2025-03-29T15:40:10.000000-0300,2025-04-08T17:10:13.000000-0300,1,1,10,0.18181818181818182,7826.049999999999,0.041043324283087226,true,true,false,false,72.54794520547945,Gold
P2P-3b48abgq,3,57367.22,19122.406666666666,22000.0,1295.51,44.31666666666666,0.2020725942163647,2025-03-31T15:13:21.000000-0300,2025-04-03T15:53:42.000000-0300,1,1,3,0.75,14341.805,0.004559742629929252,true,true,false,false,72.16438356164383,Gold
BolsoChange,2,110300.0,55150.0,55150.0,5619.83,22.1495,29.840613272853492,2025-05-24T15:51:09.000000-0300,2025-05-25T20:33:49.000000-0300,1,1,1,1.0,55150.0,1.3472364284906428,true,true,false,false,72.05479452054794,Gold
P2P-9bf649pi,2,75283.32,37641.66,37641.66,1602.4499999999998,46.98,0.0,2025-04-08T17:06:30.000000-0300,2025-04-08T18:31:05.000000-0300,1,1,0,2.0,75283.32,0.0,true,true,true,false,72.0,Gold
P2P-17e72ffv,4,64442.619999999995,16110.654999999999,16110.654999999999,1390.6399999999999,46.34,0.0,2025-04-06T17:48:48.000000-0300,2025-04-06T18:35:20.000000-0300,1,1,0,4.0,64442.619999999995,0.0,true,true,true,false,72.0,Gold
P2P-2eea6665,2,63000.0,31500.0,31500.0,1347.87,46.74,0.0,2025-04-14T19:55:43.000000-0300,2025-04-14T20:34:40.000000-0300,1,1,0,2.0,63000.0,0.0,true,true,true,false,72.0,Gold
P2P-9270afkm,2,47000.0,23500.0,23500.0,1040.96,45.15,0.0,2025-04-02T19:35:54.000000-0300,2025-04-02T19:44:41.000000-0300,1,1,0,2.0,47000.0,0.0,false,true,true,false,67.0256693442673,Gold
P2P-5190edir,2,45914.69,22957.345,22957.345,1020.1,45.01,0.1979898987322341,2025-04-02T18:58:01.000000-0300,2025-04-02T19:18:19.000000-0300,1,1,0,2.0,45914.69,0.0043987980167126,false,true,true,false,66.21686702094759,Gold
P2P-8dfecavb,2,42019.65,21009.825,21009.825,900.0999999999999,46.655,0.12020815280171429,2025-04-14T19:34:29.000000-0300,2025-04-15T12:45:40.000000-0300,1,1,0,2.0,42019.65,0.0025765331218886357,false,true,true,false,63.31417801833706,Gold
