YearMonthStr,fiat_type,Sell,Buy
2022-04,USD,150.0,0.0
2022-04,UYU,291170.82999999996,32623.36
2022-05,USD,110.0,541.99
2022-05,UYU,415324.56000000006,9845.27
2022-06,UYU,632696.2999999999,21909.23
2022-07,USD,7431.96,0.0
2022-07,UYU,257393.87,16401.79
2022-08,USD,18913.71,3034.87
2022-08,UYU,88036.2,17813.27
2022-09,USD,17129.52,6380.37
2022-09,UYU,249710.3,0.0
2022-10,USD,2409.0,1512.4899999999998
2022-10,UYU,94662.0,0.0
2022-11,USD,2050.59,760.86
2022-11,UYU,141053.83000000002,0.0
2022-12,USD,8711.34,6101.78
2022-12,UYU,122044.75,0.0
2023-01,USD,2394.24,895.6
2023-01,UYU,0.0,81.0
2023-02,USD,0.0,2101.9500000000003
2023-03,USD,0.0,3580.1899999999996
2023-03,UYU,19500.0,0.0
2023-04,USD,297.0,4998.0
2023-04,UYU,240295.8,0.0
2023-05,USD,13712.0,0.0
2023-05,UYU,250414.0,0.0
2023-06,USD,21281.55,0.0
2023-06,UYU,99766.0,0.0
2023-07,USD,24250.5,0.0
2023-08,USD,14460.41,6114.22
2023-09,USD,10709.14,362.35
2023-09,UYU,20000.0,0.0
2023-10,USD,53648.520000000004,3195.58
2023-11,USD,65285.219999999994,2646.8599999999997
2023-11,UYU,706893.41,0.0
2023-12,USD,46221.56,0.0
2023-12,UYU,1756140.89,0.0
2024-01,USD,51062.21,0.0
2024-02,USD,40934.21,0.0
2024-03,USD,98806.59999999999,0.0
2024-03,UYU,500.0,0.0
2024-04,USD,32997.4,0.0
2024-05,USD,25877.8,4242.349999999999
2024-06,USD,19516.239999999998,1110.04
2024-07,USD,9267.4,0.0
2024-08,USD,8514.0,0.0
2025-03,USD,2150.0,5763.950000000001
2025-03,UYU,2142412.97,0.0
2025-04,UYU,2187121.2600000007,0.0
2025-05,USD,28104.42,0.0
2025-05,UYU,1041091.6900000001,0.0
