YearMonthStr,monthly_volume
2022-04,323944.18999999994
2022-05,425821.82
2022-06,654605.53
2022-07,281227.62
2022-08,127798.04999999999
2022-09,273220.19
2022-10,98583.49
2022-11,143865.28
2022-12,136857.87000000002
2023-01,3370.8399999999997
2023-02,2101.9500000000003
2023-03,23080.19
2023-04,245590.8
2023-05,264126.0
2023-06,121047.55
2023-07,24250.5
2023-08,20574.63
2023-09,31071.49
2023-10,56844.1
2023-11,774825.49
2023-12,1802362.45
2024-01,51062.21
2024-02,40934.21
2024-03,99306.59999999999
2024-04,32997.4
2024-05,30120.15
2024-06,20626.28
2024-07,9267.4
2024-08,8514.0
2025-03,2150326.9199999995
2025-04,2187121.2599999993
2025-05,1069196.1099999999
