Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
,966,1.2432712215320911,7991.300124223605,7,170450.0,3.0737060041407847
CRYPTOURU,4,1.0,9250.0,1,12000.0,0.0
P2P-3b48abgq,2,1.5,28683.61,2,44000.0,6.55
BolsoChange,2,1.0,55150.0,1,107000.0,0.0
P2P-2eea6665,2,1.0,31500.0,1,33000.0,0.0
P2P-d3325cfj,2,1.0,8000.0,1,8000.0,0.0
P2P-8dfecavb,2,1.0,21009.825,1,28046.33,0.0
P2P-7d4ea08o,2,1.0,8750.0,1,8800.0,0.0
P2P-540afaog,2,1.0,16750.0,1,20000.0,0.0
P2P-c9b50df9,2,1.0,5859.0,1,5859.0,0.0
P2P-2e4c1f9q,2,1.0,43043.274999999994,1,53198.21,0.0
P2P-320874cy,2,1.0,6875.0,1,8750.0,0.0
P2P-9bf649pi,2,1.0,37641.66,1,37650.0,0.0
P2P-296841xk,2,1.0,15041.134999999998,1,23557.35,0.0
P2P-756ddemc,2,1.0,8500.0,1,13000.0,0.0
P2P-863acelf,2,1.5,45000.0,2,60000.0,4.666666666666667
P2P-f1cdffvf,2,3.5,3326.1000000000004,6,6152.200000000001,29.091666666666665
GulagGhost,1,2.0,600.0,2,600.0,14.883333333333333
P2P-416c79m4,1,1.0,23257.44,1,23257.44,0.0
P2P-549f87mf,1,1.0,55092.97,1,55092.97,0.0
P2P-3db9b5mh,1,1.0,40000.0,1,40000.0,0.0
P2P-7853865x,1,1.0,20310.23,1,20310.23,0.0
P2P-6b5571x4,1,1.0,1500.0,1,1500.0,0.0
P2P-6cc015hc,1,1.0,15000.0,1,15000.0,0.0
fbarrios,1,1.0,300.0,1,300.0,0.0
P2P-ae7b0fif,1,1.0,6000.0,1,6000.0,0.0
P2P-1fd30axl,1,1.0,2000.0,1,2000.0,0.0
P2P-c28e3bgg,1,1.0,100.0,1,100.0,0.0
P2P-b46c86hw,1,1.0,37500.0,1,37500.0,0.0
P2P-31cab5ok,1,1.0,44000.0,1,44000.0,0.0
P2P-910f6dcw,1,1.0,23008.24,1,23008.24,0.0
P2P-c2ec99nk,1,1.0,22420.0,1,22420.0,0.0
P2P-cb4aacxy,1,1.0,6585.0,1,6585.0,0.0
P2P-b4c861qe,1,1.0,17218.15,1,17218.15,0.0
P2P-ec17d7ic,1,1.0,191.18,1,191.18,0.0
P2P-4f49c1qz,1,1.0,5000.0,1,5000.0,0.0
P2P-9b9f5fqt,1,1.0,6000.0,1,6000.0,0.0
P2P-3ceb7abv,1,1.0,10000.0,1,10000.0,0.0
