order_number,Advertisement Order Number,order_type,asset_type,fiat_type,total_price,price,quantity,Exchange rate,maker_fee,taker_fee,payment_method,Counterparty,status,Origin,match_time_utc,Match_time_local,hour_local,YearMonthStr,Year,weekday_local,date_local,Quantity_num,MakerFee_num,TakerFee_num,Price_num,TotalPrice_num,TotalPrice_USD_equivalent,TotalFee,time_diff_minutes,new_session,session_id
20345102803789844480,11345098006365396992,Sell,BUSD,UYU,23000.0,42.95,53.550.640.279,,5.355.064,,,,Cancelled,MAKE_TAKE,2022-04-06 19:22:04,2022-04-06T16:22:04.000000-0300,16,2022-04,2022,3,2022-04-06T00:00:00.000,53550640.279,5355.064,,42.95,23000.0,,5355.064,,true,1
20345113531254206464,11345110966792138752,Sell,USDT,UYU,22207.07,43.0,516.44,,0.51,,,,Cancelled,MAKE_TAKE,2022-04-06 20:04:42,2022-04-06T17:04:42.000000-0300,17,2022-04,2022,3,2022-04-06T00:00:00.000,516.44,0.51,,43.0,22207.07,516.443488372093,0.51,42.63333333333333,true,2
20345372973038948352,11345367205262135296,Sell,USDT,UYU,1408.0,44.0,32,,0.03,,,,Cancelled,MAKE_TAKE,2022-04-07 13:15:37,2022-04-07T10:15:37.000000-0300,10,2022-04,2022,4,2022-04-07T00:00:00.000,32.0,0.03,,44.0,1408.0,32.0,0.03,1030.9166666666667,true,3
20345374460474474496,11345367205262135296,Sell,USDT,UYU,1000.0,44.0,22.72,,0.02,,,,Cancelled,MAKE_TAKE,2022-04-07 13:21:32,2022-04-07T10:21:32.000000-0300,10,2022-04,2022,4,2022-04-07T00:00:00.000,22.72,0.02,,44.0,1000.0,22.727272727272727,0.02,5.916666666666667,false,3
20345727811568644096,11345454937904185344,Sell,USDT,UYU,6580.0,43.8,150.22,,0.15,,,,Cancelled,MAKE_TAKE,2022-04-08 12:45:37,2022-04-08T09:45:37.000000-0300,9,2022-04,2022,5,2022-04-08T00:00:00.000,150.22,0.15,,43.8,6580.0,150.2283105022831,0.15,1404.0833333333333,true,4
20346693545131962368,11346640412816093184,Sell,USDT,UYU,6000.0,44.2,135.74,,0.13,,,,Cancelled,MAKE_TAKE,2022-04-11 4:43:06,2022-04-11T01:43:06.000000-0300,1,2022-04,2022,1,2022-04-11T00:00:00.000,135.74,0.13,,44.2,6000.0,135.74660633484163,0.13,3837.483333333333,true,5
20346697217263251456,11346640412816093184,Sell,USDT,UYU,900.0,44.2,20.36,,0.02,,,,Cancelled,MAKE_TAKE,2022-04-11 4:57:42,2022-04-11T01:57:42.000000-0300,1,2022-04,2022,1,2022-04-11T00:00:00.000,20.36,0.02,,44.2,900.0,20.361990950226243,0.02,14.6,false,5
20346740797123272704,11346640412816093184,Sell,USDT,UYU,800.8,44.0,18.2,,0.01,,,,Cancelled,MAKE_TAKE,2022-04-11 7:50:52,2022-04-11T04:50:52.000000-0300,4,2022-04,2022,1,2022-04-11T00:00:00.000,18.2,0.01,,44.0,800.8,18.2,0.01,173.16666666666666,true,6
20347167562049880064,11346848794694815744,Sell,USDT,UYU,1000.0,44.0,22.72,,0.02,,,,Cancelled,MAKE_TAKE,2022-04-12 12:06:41,2022-04-12T09:06:41.000000-0300,9,2022-04,2022,2,2022-04-12T00:00:00.000,22.72,0.02,,44.0,1000.0,22.727272727272727,0.02,1695.8166666666666,true,7
20347670801810038784,11346848794694815744,Sell,USDT,UYU,1500.0,44.0,34.09,,0.03,,,,Cancelled,MAKE_TAKE,2022-04-13 21:26:22,2022-04-13T18:26:22.000000-0300,18,2022-04,2022,3,2022-04-13T00:00:00.000,34.09,0.03,,44.0,1500.0,34.09090909090909,0.03,1999.6833333333334,true,8
20349510668114731008,11349292248994185216,Sell,USDT,UYU,375.0,44.0,8.52,,0.0,,,,Cancelled,MAKE_TAKE,2022-04-18 23:17:21,2022-04-18T20:17:21.000000-0300,20,2022-04,2022,1,2022-04-18T00:00:00.000,8.52,0.0,,44.0,375.0,8.522727272727273,0.0,7310.983333333334,true,9
20349810047224877056,11349593514551185408,Sell,USDT,UYU,49180.56,42.99,1144,,0.91,,,,Cancelled,MAKE_TAKE,2022-04-19 19:06:58,2022-04-19T16:06:58.000000-0300,16,2022-04,2022,2,2022-04-19T00:00:00.000,1144.0,0.91,,42.99,49180.56,1144.0,0.91,1189.6166666666666,true,10
20349948142858883072,11349593514551185408,Sell,USDT,UYU,500.0,43.0,11.62,,0.0,,Prex,,Cancelled,MAKE_TAKE,2022-04-20 4:15:43,2022-04-20T01:15:43.000000-0300,1,2022-04,2022,3,2022-04-20T00:00:00.000,11.62,0.0,,43.0,500.0,11.627906976744185,0.0,548.75,true,11
20350183794904649728,11349593514551185408,Sell,USDT,UYU,1060.0,43.0,24.65,,0.01,,Prex,,Cancelled,MAKE_TAKE,2022-04-20 19:52:07,2022-04-20T16:52:07.000000-0300,16,2022-04,2022,3,2022-04-20T00:00:00.000,24.65,0.01,,43.0,1060.0,24.651162790697676,0.01,936.4,true,12
20351217843687981056,11350575913268781056,Buy,USDT,UYU,27358.36,41.07,666.13,,0.53,,Prex,,Cancelled,MAKE_TAKE,2022-04-23 16:21:04,2022-04-23T13:21:04.000000-0300,13,2022-04,2022,6,2022-04-23T00:00:00.000,666.13,0.53,,41.07,27358.36,666.1397613830046,0.53,4108.95,true,13
20351232359832363008,11349593514551185408,Sell,USDT,UYU,2000.0,43.0,46.51,,0.03,,Prex,,Cancelled,LITE_VERSION,2022-04-23 17:18:44,2022-04-23T14:18:44.000000-0300,14,2022-04,2022,6,2022-04-23T00:00:00.000,46.51,0.03,,43.0,2000.0,46.51162790697674,0.03,57.666666666666664,true,14
20351243660025212928,11349593514551185408,Sell,USDT,UYU,1000.0,43.0,23.25,,0.01,,,,Cancelled,MAKE_TAKE,2022-04-23 18:03:38,2022-04-23T15:03:38.000000-0300,15,2022-04,2022,6,2022-04-23T00:00:00.000,23.25,0.01,,43.0,1000.0,23.25581395348837,0.01,44.9,true,15
20351670827565207552,11351621862302130176,Sell,USDT,UYU,96058.8,42.8,2244.36,,1.79,,,,Cancelled,MAKE_TAKE,2022-04-24 22:21:03,2022-04-24T19:21:03.000000-0300,19,2022-04,2022,7,2022-04-24T00:00:00.000,2244.36,1.79,,42.8,96058.8,2244.3644859813085,1.79,1697.4166666666667,true,16
20352092536088399872,11351976487292534784,Sell,USDT,UYU,8576.0,42.88,200,,0.16,,,,Cancelled,MAKE_TAKE,2022-04-26 2:16:46,2022-04-25T23:16:46.000000-0300,23,2022-04,2022,1,2022-04-25T00:00:00.000,200.0,0.16,,42.88,8576.0,200.0,0.16,1675.7166666666667,true,17
20352094790385418240,11351976487292534784,Sell,USDT,UYU,1929.6,42.88,45,,0.03,,,,Cancelled,MAKE_TAKE,2022-04-26 2:25:43,2022-04-25T23:25:43.000000-0300,23,2022-04,2022,1,2022-04-25T00:00:00.000,45.0,0.03,,42.88,1929.6,44.99999999999999,0.03,8.95,false,17
