session_id,session_start_hour,session_end_hour,total_ops,total_volume,hour_span
15,15,15,1,1000.0,0
658,15,15,1,450.0,0
804,20,20,1,1000.0,0
926,1,1,1,500.0,0
1066,14,14,1,208.25,0
423,11,11,1,280.0,0
399,10,10,1,162.35,0
146,12,12,1,1000.0,0
140,12,12,1,17000.0,0
548,21,21,2,72925.91,0
396,22,22,1,200.0,0
411,19,19,1,100.0,0
679,13,13,1,300.0,0
819,15,15,1,400.0,0
789,22,22,1,1000.0,0
1060,20,19,7,11672.2,1
417,1,1,1,891.9,0
810,21,21,1,2000.0,0
1069,15,15,2,4105.0,0
280,23,23,1,100.0,0
551,15,15,1,7000.0,0
1054,21,21,1,44000.0,0
947,22,22,1,21941.6,0
798,22,22,1,500.0,0
816,16,16,1,400.0,0
682,17,17,1,6500.0,0
134,14,14,1,6000.0,0
420,17,17,1,252.0,0
673,10,10,1,10000.0,0
289,18,18,1,116.0,0
283,12,12,2,335.0,0
664,18,18,1,8839.32,0
530,17,17,1,500.0,0
792,10,10,2,9056.76,0
920,23,23,1,400.0,0
271,21,21,1,3314.05,0
12,16,16,1,1060.0,0
3,10,10,2,2408.0,0
161,14,14,1,1141.8,0
277,23,23,1,500.0,0
408,21,21,1,100.0,0
533,21,21,1,500.0,0
557,12,12,1,200.0,0
944,19,19,1,30000.0,0
542,19,19,1,530.96,0
539,18,17,2,11000.0,1
30,14,14,1,4500.0,0
938,14,14,2,20000.0,0
536,11,10,5,2500.0,1
685,9,9,1,200.0,0
155,16,16,1,1380.38,0
414,11,11,1,100.0,0
1072,14,14,1,8500.0,0
274,13,13,1,100.0,0
670,12,12,2,64200.0,0
1081,15,15,1,227.0,0
152,16,16,1,103.8,0
929,17,18,4,71762.4,1
149,16,16,2,3200.0,0
807,14,14,1,2000.0,0
688,21,21,1,200.0,0
268,10,10,1,12999.9,0
941,19,19,1,9550.0,0
137,12,12,1,4500.0,0
801,10,10,1,500.0,0
27,21,21,1,60.0,0
950,17,17,1,21845.7,0
1057,14,14,1,2100.0,0
1078,12,12,2,22800.0,0
265,15,15,1,16482.0,0
813,10,9,2,1323.95,1
676,9,9,1,1550.0,0
667,14,14,1,10000.0,0
932,14,14,1,19350.0,0
1075,11,11,1,8000.0,0
24,20,20,1,20000.0,0
158,19,19,1,88369.3,0
143,10,10,1,15241.0,0
795,21,21,1,1768.0,0
661,17,17,1,200.0,0
1063,21,21,1,200.0,0
405,15,15,1,810.0,0
9,20,20,1,375.0,0
286,10,11,3,1798.0,1
21,23,23,1,2000.0,0
935,19,18,2,67690.0,1
6,4,4,1,800.8,0
554,20,20,2,25500.0,0
527,22,22,1,220.0,0
545,17,17,1,8000.0,0
402,23,23,1,100.0,0
18,18,18,1,21400.0,0
923,20,20,1,1000.0,0
1051,4,4,1,8000.0,0
292,15,15,1,3000.0,0
426,9,9,1,384.0,0
63,23,23,1,2000.0,0
1099,19,19,1,105718.14,0
51,17,17,1,511.68,0
953,15,15,1,4020.73,0
48,22,22,1,29567.7,0
965,16,16,1,18000.0,0
176,18,18,1,38.8,0
432,0,0,1,149.7,0
453,10,10,1,100.0,0
301,18,18,1,18000.0,0
1102,23,23,1,16000.0,0
1096,15,15,1,43000.0,0
974,22,22,2,26410.0,0
1084,20,20,1,10000.0,0
959,13,13,1,31292.23,0
575,16,16,1,7515.0,0
173,15,15,1,180.0,0
39,18,18,1,5000.0,0
1093,21,21,1,550.0,0
843,11,11,1,576.52,0
307,21,21,1,206.0,0
322,16,16,1,2100.0,0
319,15,15,1,315.0,0
852,20,20,1,4800.0,0
694,10,10,1,1213.0,0
578,19,19,1,6649.5,0
182,10,10,1,45.81,0
33,1,1,1,80312.74,0
188,22,22,1,2000.0,0
712,13,13,2,2244.0,0
980,20,20,1,21789.0,0
194,13,13,2,940.0,0
167,20,20,1,10060.0,0
179,19,19,2,25702.0,0
54,23,23,1,4500.0,0
456,21,21,1,247.88,0
715,23,23,1,250.0,0
581,16,16,1,4000.0,0
325,17,17,1,800.0,0
429,16,16,1,155.0,0
977,16,16,1,20858.0,0
956,20,20,1,62000.0,0
42,21,21,1,12400.0,0
191,20,20,1,80.0,0
444,10,10,1,200.0,0
584,21,21,1,29137.0,0
846,21,22,2,1000.0,1
316,13,13,1,79766.0,0
825,8,8,1,735.0,0
1090,13,13,1,10000.0,0
566,13,14,3,24450.0,1
298,15,15,1,40000.0,0
60,20,20,1,500.0,0
572,10,10,1,1700.0,0
435,14,13,2,214.0,1
304,20,20,1,1000.0,0
834,20,20,1,400.0,0
57,17,17,1,59500.0,0
840,21,21,1,400.0,0
831,8,8,1,1240.0,0
441,19,19,1,100.0,0
971,20,20,1,5000.0,0
310,9,9,1,200.0,0
706,20,20,1,330.0,0
828,12,12,1,1571.88,0
1087,16,16,1,8800.0,0
968,22,21,3,23201.9,1
560,19,19,1,30000.0,0
185,17,17,1,3000.0,0
849,18,18,1,550.0,0
563,10,10,1,35000.0,0
691,12,12,1,800.0,0
822,22,22,1,800.0,0
313,16,16,1,515.0,0
837,10,10,1,400.0,0
295,20,20,1,200.0,0
700,14,14,1,400.0,0
36,19,19,2,25600.0,0
709,14,14,1,490.0,0
164,22,22,1,2000.0,0
450,19,19,1,105.0,0
587,11,11,1,3000.0,0
1105,11,11,2,2072.0,0
170,19,19,1,5000.0,0
703,16,16,1,530.0,0
962,17,17,2,24797.359999999997,0
569,17,17,1,3800.0,0
697,13,13,1,400.0,0
438,18,18,2,1500.0,0
983,19,19,1,191.18,0
45,13,12,4,4148.28,1
718,10,10,3,756.0,0
447,16,16,1,112.1,0
200,19,19,2,3500.0,0
352,13,13,1,500.0,0
471,11,11,2,2274.84,0
1013,16,16,1,13000.0,0
873,19,19,1,1840.33,0
748,11,11,1,529.5,0
876,9,9,1,1250.0,0
334,15,15,1,206.82,0
611,14,14,1,81510.36,0
858,10,10,1,2500.0,0
870,0,0,1,220.07,0
209,15,15,1,18000.0,0
602,12,12,2,10500.0,0
989,12,12,1,150.0,0
730,13,13,1,1000.0,0
608,10,10,1,300.0,0
861,17,17,1,535.0,0
224,17,17,2,8000.0,0
751,17,17,1,500.0,0
882,18,18,1,1150.0,0
736,20,20,1,520.0,0
1010,16,16,1,46100.0,0
227,13,13,2,5500.0,0
1007,14,14,2,14822.0,0
66,12,12,1,14640.15,0
75,19,19,3,16500.0,0
459,9,9,1,530.0,0
739,11,11,1,500.0,0
745,21,21,1,590.0,0
206,14,14,1,212.0,0
72,21,21,2,45000.0,0
742,15,15,1,2800.0,0
486,11,11,1,100.0,0
84,14,13,2,10000.0,1
867,1,1,1,400.0,0
483,18,18,1,600.0,0
724,23,23,1,500.0,0
1004,20,21,2,19704.85,1
358,13,13,1,200.0,0
986,15,15,1,53198.21,0
81,13,13,1,21315.0,0
221,18,18,1,150.0,0
343,17,17,1,415.0,0
1001,14,14,1,5859.0,0
998,19,19,1,53674.92,0
995,14,14,1,4000.0,0
346,11,11,1,550.0,0
87,15,15,2,69991.9,0
605,18,18,3,11436.0,0
879,21,21,1,400.0,0
590,17,17,1,83266.77,0
69,13,13,1,500.0,0
355,20,20,1,200.0,0
349,23,23,1,550.0,0
340,16,16,1,350.0,0
468,17,16,5,1920.0,1
596,11,11,2,1300.0,0
337,23,23,1,4000.0,0
474,9,9,1,300.0,0
462,16,16,2,2170.0,0
855,10,10,1,1500.0,0
