session_id,num_operations,total_volume,avg_volume_per_op,total_quantity,session_start,session_end,unique_counterparties,dominant_fiat,dominant_asset,duration_minutes,operations_per_hour,volume_per_minute
1,1,23000.0,23000.0,53550640.279,2022-04-06T16:22:04.000000-0300,2022-04-06T16:22:04.000000-0300,1,UYU,BUSD,0.0,100.0,2300000.0
2,1,22207.07,22207.07,516.44,2022-04-06T17:04:42.000000-0300,2022-04-06T17:04:42.000000-0300,1,UYU,USDT,0.0,100.0,2220707.0
3,2,2408.0,1204.0,54.72,2022-04-07T10:15:37.000000-0300,2022-04-07T10:21:32.000000-0300,1,UYU,USDT,5.916666666666667,20.28169014084507,406.9859154929577
4,1,6580.0,6580.0,150.22,2022-04-08T09:45:37.000000-0300,2022-04-08T09:45:37.000000-0300,1,UYU,USDT,0.0,100.0,658000.0
5,2,6900.0,3450.0,156.10000000000002,2022-04-11T01:43:06.000000-0300,2022-04-11T01:57:42.000000-0300,1,UYU,USDT,14.6,8.219178082191782,472.60273972602744
6,1,800.8,800.8,18.2,2022-04-11T04:50:52.000000-0300,2022-04-11T04:50:52.000000-0300,1,UYU,USDT,0.0,100.0,80080.0
7,1,1000.0,1000.0,22.72,2022-04-12T09:06:41.000000-0300,2022-04-12T09:06:41.000000-0300,1,UYU,USDT,0.0,100.0,100000.0
8,1,1500.0,1500.0,34.09,2022-04-13T18:26:22.000000-0300,2022-04-13T18:26:22.000000-0300,1,UYU,USDT,0.0,100.0,150000.0
9,1,375.0,375.0,8.52,2022-04-18T20:17:21.000000-0300,2022-04-18T20:17:21.000000-0300,1,UYU,USDT,0.0,100.0,37500.0
10,1,49180.56,49180.56,1144.0,2022-04-19T16:06:58.000000-0300,2022-04-19T16:06:58.000000-0300,1,UYU,USDT,0.0,100.0,4918056.0
11,1,500.0,500.0,11.62,2022-04-20T01:15:43.000000-0300,2022-04-20T01:15:43.000000-0300,1,UYU,USDT,0.0,100.0,50000.0
12,1,1060.0,1060.0,24.65,2022-04-20T16:52:07.000000-0300,2022-04-20T16:52:07.000000-0300,1,UYU,USDT,0.0,100.0,106000.0
13,1,27358.36,27358.36,666.13,2022-04-23T13:21:04.000000-0300,2022-04-23T13:21:04.000000-0300,1,UYU,USDT,0.0,100.0,2735836.0
14,1,2000.0,2000.0,46.51,2022-04-23T14:18:44.000000-0300,2022-04-23T14:18:44.000000-0300,1,UYU,USDT,0.0,100.0,200000.0
15,1,1000.0,1000.0,23.25,2022-04-23T15:03:38.000000-0300,2022-04-23T15:03:38.000000-0300,1,UYU,USDT,0.0,100.0,100000.0
16,1,96058.8,96058.8,2244.36,2022-04-24T19:21:03.000000-0300,2022-04-24T19:21:03.000000-0300,1,UYU,USDT,0.0,100.0,9605880.0
17,2,10505.6,5252.8,245.0,2022-04-25T23:16:46.000000-0300,2022-04-25T23:25:43.000000-0300,1,UYU,USDT,8.95,13.407821229050281,1173.8100558659219
18,1,21400.0,21400.0,498.95,2022-04-26T18:39:11.000000-0300,2022-04-26T18:39:11.000000-0300,1,UYU,USDT,0.0,100.0,2140000.0
19,1,21445.0,21445.0,500.0,2022-04-26T19:43:56.000000-0300,2022-04-26T19:43:56.000000-0300,1,UYU,USDT,0.0,100.0,2144500.0
20,1,5265.0,5265.0,135.0,2022-04-28T18:44:43.000000-0300,2022-04-28T18:44:43.000000-0300,1,UYU,BUSD,0.0,100.0,526500.0
21,1,2000.0,2000.0,46.51,2022-04-28T23:14:58.000000-0300,2022-04-28T23:14:58.000000-0300,1,UYU,USDT,0.0,100.0,200000.0
22,1,150.0,150.0,142.18,2022-04-29T19:09:42.000000-0300,2022-04-29T19:09:42.000000-0300,1,USD,USDT,0.0,100.0,15000.0
23,1,1250.0,1250.0,28.44,2022-04-29T23:08:19.000000-0300,2022-04-29T23:08:19.000000-0300,1,UYU,USDT,0.0,100.0,125000.0
24,1,20000.0,20000.0,455.16,2022-04-30T20:57:33.000000-0300,2022-04-30T20:57:33.000000-0300,1,UYU,USDT,0.0,100.0,2000000.0
25,2,2000.0,1000.0,45.42,2022-05-01T19:07:34.000000-0300,2022-05-01T19:33:05.000000-0300,1,UYU,USDT,25.516666666666666,4.702808621815807,78.38014369693012
26,1,50.0,50.0,47.61,2022-05-01T20:12:10.000000-0300,2022-05-01T20:12:10.000000-0300,1,USD,USDT,0.0,100.0,5000.0
27,1,60.0,60.0,57.14,2022-05-01T21:06:04.000000-0300,2022-05-01T21:06:04.000000-0300,1,USD,USDT,0.0,100.0,6000.0
28,1,3500.0,3500.0,79.49,2022-05-02T01:03:39.000000-0300,2022-05-02T01:03:39.000000-0300,1,UYU,USDT,0.0,100.0,350000.0
29,1,5850.0,5850.0,135.47,2022-05-02T13:01:14.000000-0300,2022-05-02T13:01:14.000000-0300,1,UYU,USDT,0.0,100.0,585000.0
30,1,4500.0,4500.0,104.67,2022-05-02T14:02:03.000000-0300,2022-05-02T14:02:03.000000-0300,1,UYU,USDT,0.0,100.0,450000.0
31,1,8641.0,8641.0,201.0,2022-05-02T14:42:05.000000-0300,2022-05-02T14:42:05.000000-0300,1,UYU,USDT,0.0,100.0,864100.0
32,2,9000.0,4500.0,209.34,2022-05-02T17:20:22.000000-0300,2022-05-02T17:23:44.000000-0300,1,UYU,USDT,3.3666666666666667,35.64356435643565,2673.267326732673
33,1,80312.74,80312.74,1825.28,2022-05-06T01:04:52.000000-0300,2022-05-06T01:04:52.000000-0300,1,UYU,USDT,0.0,100.0,8031274.0
34,1,15000.0,15000.0,344.82,2022-05-06T16:12:10.000000-0300,2022-05-06T16:12:10.000000-0300,1,UYU,USDT,0.0,100.0,1500000.0
35,1,42389.0,42389.0,970.0,2022-05-06T17:38:27.000000-0300,2022-05-06T17:38:27.000000-0300,1,UYU,USDT,0.0,100.0,4238900.0
36,2,25600.0,12800.0,585.8,2022-05-06T19:15:21.000000-0300,2022-05-06T19:17:40.000000-0300,1,UYU,USDT,2.3166666666666664,51.79856115107914,11050.359712230216
37,1,35500.0,35500.0,805.17,2022-05-09T15:27:51.000000-0300,2022-05-09T15:27:51.000000-0300,1,UYU,USDT,0.0,100.0,3550000.0
38,1,10000.0,10000.0,224.76,2022-05-09T17:47:33.000000-0300,2022-05-09T17:47:33.000000-0300,1,UYU,USDT,0.0,100.0,1000000.0
39,1,5000.0,5000.0,112.33,2022-05-09T18:38:14.000000-0300,2022-05-09T18:38:14.000000-0300,1,UYU,USDT,0.0,100.0,500000.0
40,1,1500.0,1500.0,33.75,2022-05-10T15:14:01.000000-0300,2022-05-10T15:14:01.000000-0300,1,UYU,USDT,0.0,100.0,150000.0
41,1,606.12,606.12,14.77,2022-05-10T15:45:28.000000-0300,2022-05-10T15:45:28.000000-0300,1,UYU,USDT,0.0,100.0,60612.0
42,1,12400.0,12400.0,277.77,2022-05-12T21:12:50.000000-0300,2022-05-12T21:12:50.000000-0300,1,UYU,USDT,0.0,100.0,1240000.0
43,1,349.99,349.99,355.68,2022-05-12T22:05:43.000000-0300,2022-05-12T22:05:43.000000-0300,1,USD,USDT,0.0,100.0,34999.0
44,1,8000.0,8000.0,177.26,2022-05-14T21:01:03.000000-0300,2022-05-14T21:01:03.000000-0300,1,UYU,USDT,0.0,100.0,800000.0
45,4,4148.28,1037.07,92.0,2022-05-15T12:31:10.000000-0300,2022-05-15T13:19:30.000000-0300,1,UYU,USDT,48.333333333333336,4.9655172413793105,85.82648275862068
46,1,800.0,800.0,18.02,2022-05-16T17:36:09.000000-0300,2022-05-16T17:36:09.000000-0300,1,UYU,USDT,0.0,100.0,80000.0
47,1,192.0,192.0,200.0,2022-05-24T01:10:31.000000-0300,2022-05-24T01:10:31.000000-0300,1,USD,USDT,0.0,100.0,19200.0
48,1,29567.7,29567.7,705.0,2022-05-25T22:55:20.000000-0300,2022-05-25T22:55:20.000000-0300,1,UYU,USDT,0.0,100.0,2956770.0
49,1,500.0,500.0,11.96,2022-05-26T14:05:34.000000-0300,2022-05-26T14:05:34.000000-0300,1,UYU,USDT,0.0,100.0,50000.0
50,1,511.68,511.68,13.0,2022-05-26T16:10:39.000000-0300,2022-05-26T16:10:39.000000-0300,1,UYU,USDT,0.0,100.0,51168.0
51,1,511.68,511.68,13.0,2022-05-26T17:07:14.000000-0300,2022-05-26T17:07:14.000000-0300,1,UYU,USDT,0.0,100.0,51168.0
52,1,879.9,879.9,21.0,2022-05-27T08:50:41.000000-0300,2022-05-27T08:50:41.000000-0300,1,UYU,USDT,0.0,100.0,87990.0
53,1,4235.94,4235.94,101.0,2022-05-27T21:32:08.000000-0300,2022-05-27T21:32:08.000000-0300,1,UYU,USDT,0.0,100.0,423593.99999999994
54,1,4500.0,4500.0,108.77,2022-05-27T23:45:44.000000-0300,2022-05-27T23:45:44.000000-0300,1,UYU,USDT,0.0,100.0,450000.0
55,1,8215.79,8215.79,209.0,2022-05-30T16:57:33.000000-0300,2022-05-30T16:57:33.000000-0300,1,UYU,USDT,0.0,100.0,821579.0000000001
56,1,42000.0,42000.0,1012.29,2022-05-30T19:23:05.000000-0300,2022-05-30T19:23:05.000000-0300,1,UYU,USDT,0.0,100.0,4200000.0
57,1,59500.0,59500.0,1416.66,2022-05-31T17:22:38.000000-0300,2022-05-31T17:22:38.000000-0300,1,UYU,USDT,0.0,100.0,5950000.0
58,1,70000.0,70000.0,1655.23,2022-06-01T14:48:49.000000-0300,2022-06-01T14:48:49.000000-0300,1,UYU,USDT,0.0,100.0,7000000.0
59,1,6580.08,6580.08,156.0,2022-06-04T20:22:04.000000-0300,2022-06-04T20:22:04.000000-0300,1,UYU,USDT,0.0,100.0,658008.0
60,1,500.0,500.0,11.94,2022-06-05T20:28:59.000000-0300,2022-06-05T20:28:59.000000-0300,1,UYU,USDT,0.0,100.0,50000.0
61,1,2100.0,2100.0,50.66,2022-06-06T12:16:13.000000-0300,2022-06-06T12:16:13.000000-0300,1,UYU,USDT,0.0,100.0,210000.0
62,1,3652.0,3652.0,88.0,2022-06-06T19:24:22.000000-0300,2022-06-06T19:24:22.000000-0300,1,UYU,USDT,0.0,100.0,365200.0
63,1,2000.0,2000.0,47.16,2022-06-07T23:33:23.000000-0300,2022-06-07T23:33:23.000000-0300,1,UYU,USDT,0.0,100.0,200000.0
64,1,4208.67,4208.67,101.0,2022-06-08T14:04:42.000000-0300,2022-06-08T14:04:42.000000-0300,1,UYU,USDT,0.0,100.0,420867.0
65,1,12800.0,12800.0,307.91,2022-06-08T19:11:18.000000-0300,2022-06-08T19:11:18.000000-0300,1,UYU,USDT,0.0,100.0,1280000.0
66,1,14640.15,14640.15,365.0,2022-06-09T12:48:04.000000-0300,2022-06-09T12:48:04.000000-0300,1,UYU,USDT,0.0,100.0,1464015.0
67,1,146700.0,146700.0,3517.98,2022-06-11T12:19:37.000000-0300,2022-06-11T12:19:37.000000-0300,1,UYU,USDT,0.0,100.0,14670000.0
68,1,2500.0,2500.0,59.28,2022-06-12T12:32:19.000000-0300,2022-06-12T12:32:19.000000-0300,1,UYU,USDT,0.0,100.0,250000.0
69,1,500.0,500.0,11.83,2022-06-13T13:27:15.000000-0300,2022-06-13T13:27:15.000000-0300,1,UYU,USDT,0.0,100.0,50000.0
70,1,2500.0,2500.0,59.03,2022-06-13T14:51:52.000000-0300,2022-06-13T14:51:52.000000-0300,1,UYU,USDT,0.0,100.0,250000.0
71,1,91978.56,91978.56,2181.65,2022-06-13T18:26:21.000000-0300,2022-06-13T18:26:21.000000-0300,1,UYU,USDT,0.0,100.0,9197856.0
72,2,45000.0,22500.0,1062.56,2022-06-13T21:23:44.000000-0300,2022-06-13T21:43:51.000000-0300,1,UYU,USDT,20.116666666666667,5.965202982601491,2236.9511184755593
73,1,41000.0,41000.0,972.71,2022-06-15T17:42:25.000000-0300,2022-06-15T17:42:25.000000-0300,1,UYU,USDT,0.0,100.0,4100000.0
74,1,4000.0,4000.0,95.23,2022-06-15T18:43:48.000000-0300,2022-06-15T18:43:48.000000-0300,1,UYU,USDT,0.0,100.0,400000.0
75,3,16500.0,5500.0,392.84,2022-06-15T19:21:06.000000-0300,2022-06-15T19:48:24.000000-0300,1,UYU,USDT,27.3,6.593406593406593,604.3956043956043
76,1,3000.0,3000.0,71.42,2022-06-16T13:31:24.000000-0300,2022-06-16T13:31:24.000000-0300,1,UYU,USDT,0.0,100.0,300000.0
77,1,7269.08,7269.08,182.0,2022-06-17T12:28:07.000000-0300,2022-06-17T12:28:07.000000-0300,1,UYU,USDT,0.0,100.0,726908.0
78,3,37213.92,12404.64,888.37,2022-06-18T01:09:37.000000-0300,2022-06-18T01:37:17.000000-0300,1,UYU,USDT,27.666666666666668,6.506024096385541,1345.0814457831325
79,1,4288.46,4288.46,101.0,2022-06-18T14:58:54.000000-0300,2022-06-18T14:58:54.000000-0300,1,UYU,USDT,0.0,100.0,428846.0
80,1,600.0,600.0,13.33,2022-06-19T01:03:36.000000-0300,2022-06-19T01:03:36.000000-0300,1,UYU,USDT,0.0,100.0,60000.0
81,1,21315.0,21315.0,500.0,2022-06-20T13:30:34.000000-0300,2022-06-20T13:30:34.000000-0300,1,UYU,USDT,0.0,100.0,2131500.0
82,1,2000.0,2000.0,47.61,2022-06-20T18:05:29.000000-0300,2022-06-20T18:05:29.000000-0300,1,UYU,USDT,0.0,100.0,200000.0
83,1,23100.0,23100.0,550.0,2022-06-21T18:44:11.000000-0300,2022-06-21T18:44:11.000000-0300,1,UYU,USDT,0.0,100.0,2310000.0
84,2,10000.0,5000.0,237.07,2022-06-22T13:46:38.000000-0300,2022-06-22T14:15:51.000000-0300,1,UYU,USDT,29.216666666666665,4.107244723331432,342.2703936109527
85,2,5464.0,2732.0,130.09,2022-06-22T16:22:28.000000-0300,2022-06-22T16:36:51.000000-0300,1,UYU,USDT,14.383333333333333,8.342989571263036,379.8841251448436
86,1,2203.71,2203.71,51.0,2022-06-26T15:51:37.000000-0300,2022-06-26T15:51:37.000000-0300,1,UYU,USDT,0.0,100.0,220371.0
87,2,69991.9,34995.95,1660.54,2022-06-27T15:21:36.000000-0300,2022-06-27T15:36:07.000000-0300,1,UYU,USDT,14.516666666666666,8.266360505166476,4821.485648679679
88,1,1000.0,1000.0,23.75,2022-06-27T20:13:21.000000-0300,2022-06-27T20:13:21.000000-0300,1,UYU,USDT,0.0,100.0,100000.0
89,1,38000.0,38000.0,904.76,2022-07-01T00:21:50.000000-0300,2022-07-01T00:21:50.000000-0300,1,UYU,USDT,0.0,100.0,3800000.0
90,1,507.0,507.0,13.0,2022-07-01T04:55:57.000000-0300,2022-07-01T04:55:57.000000-0300,1,UYU,USDT,0.0,100.0,50700.0
91,1,1560.39,1560.39,40.01,2022-07-01T15:28:07.000000-0300,2022-07-01T15:28:07.000000-0300,1,UYU,USDT,0.0,100.0,156039.0
92,1,72100.0,72100.0,1708.53,2022-07-01T20:14:49.000000-0300,2022-07-01T20:14:49.000000-0300,1,UYU,USDT,0.0,100.0,7210000.0
93,1,36115.0,36115.0,855.8,2022-07-01T21:57:38.000000-0300,2022-07-01T21:57:38.000000-0300,1,UYU,USDT,0.0,100.0,3611500.0
94,1,42075.85,42075.85,1003.0,2022-07-02T16:32:49.000000-0300,2022-07-02T16:32:49.000000-0300,1,UYU,USDT,0.0,100.0,4207585.0
95,1,14334.4,14334.4,358.36,2022-07-04T12:41:32.000000-0300,2022-07-04T12:41:32.000000-0300,1,UYU,USDT,0.0,100.0,1433440.0
96,1,26950.0,26950.0,620.96,2022-07-04T20:14:34.000000-0300,2022-07-04T20:14:34.000000-0300,1,UYU,USDT,0.0,100.0,2695000.0
97,1,20000.0,20000.0,465.11,2022-07-05T20:10:19.000000-0300,2022-07-05T20:10:19.000000-0300,1,UYU,USDT,0.0,100.0,2000000.0
98,1,5921.96,5921.96,5383.6,2022-07-25T21:06:31.000000-0300,2022-07-25T21:06:31.000000-0300,1,USD,USDT,0.0,100.0,592196.0
99,1,500.0,500.0,476.19,2022-07-28T18:03:29.000000-0300,2022-07-28T18:03:29.000000-0300,1,USD,USDT,0.0,100.0,50000.0
100,1,22153.02,22153.02,514.58,2022-07-29T13:08:27.000000-0300,2022-07-29T13:08:27.000000-0300,1,UYU,USDT,0.0,100.0,2215302.0
101,2,1010.0,505.0,963.73,2022-07-29T14:13:40.000000-0300,2022-07-29T14:28:31.000000-0300,1,USD,USDT,14.85,8.080808080808081,68.01346801346801
102,1,500.0,500.0,476.64,2022-08-02T14:16:30.000000-0300,2022-08-02T14:16:30.000000-0300,1,USD,USDT,0.0,100.0,50000.0
103,1,100.0,100.0,96.33,2022-08-03T09:54:48.000000-0300,2022-08-03T09:54:48.000000-0300,1,USD,USDT,0.0,100.0,10000.0
