Counterparty,payment_method,operations_with_method,volume_with_method,avg_volume_with_method,total_operations_cp,total_volume_cp,pct_operations,pct_volume
ACEM_MVD,SantanderUrug,1,8980.0,8980.0,1,8980.0,100.0,100.0
AF-Cripto,SantanderUrug,1,400.35,400.35,1,400.35,100.0,100.0
AgustinM,ItauUruguay,1,501.0,501.0,1,501.0,100.0,100.0
Aleuzenev1992,ScotiabankUruguay,1,5425.22,5425.22,1,5425.22,100.0,100.0
BolsoChange,OcaBlue,1,41963.79,41963.79,1,41963.79,100.0,100.0
BoogieMan2K,ItauUruguay,2,1037.6,518.8,2,1037.6,100.0,100.0
Candor2,ItauUruguay,1,101.05,101.05,1,101.05,100.0,100.0
Capicua373,SantanderUrug,1,72000.0,72000.0,1,72000.0,100.0,100.0
Carlosmroj,ItauUruguay,1,897.25,897.25,1,897.25,100.0,100.0
Christian,SantanderUrug,2,1305.5,652.75,2,1305.5,100.0,100.0
Cmanuel_uy,ItauUruguay,2,93500.0,46750.0,3,103810.0,66.66666666666666,90.06839418167807
Cmanuel_uy,SantanderUrug,1,10310.0,10310.0,3,103810.0,33.33333333333333,9.931605818321934
Cosmo_Change,SantanderUrug,1,667.0,667.0,1,667.0,100.0,100.0
Criptobuy,SantanderUrug,2,4775.01,2387.505,2,4775.01,100.0,100.0
CryptoMefis,BankRepublicUruguay,1,500.0,500.0,1,500.0,100.0,100.0
CryptoMinds-,OcaBlue,1,251.44,251.44,1,251.44,100.0,100.0
CryptooP2P-,SantanderUrug,1,15825.48,15825.48,1,15825.48,100.0,100.0
DMV_BTC,SantanderUrug,1,313.13,313.13,1,313.13,100.0,100.0
El_Elias27,OcaBlue,1,243.67,243.67,1,243.67,100.0,100.0
EmiMz0806,ScotiabankUruguay,1,22163.88,22163.88,1,22163.88,100.0,100.0
Franchoo01,ItauUruguay,2,995.26,497.63,2,995.26,100.0,100.0
Gastoniwcc,BBVAUruguay,1,500.0,500.0,1,500.0,100.0,100.0
GroupSensei,OcaBlue,1,291.0,291.0,1,291.0,100.0,100.0
IluminaTuAlma,OcaBlue,1,54000.0,54000.0,1,54000.0,100.0,100.0
Impulsotrading,ItauUruguay,1,499.94,499.94,1,499.94,100.0,100.0
Jeyurmona23,ItauUruguay,2,1399.95,699.975,2,1399.95,100.0,100.0
JoacoRSC,SantanderUrug,1,529.07,529.07,1,529.07,100.0,100.0
JuanSH,SantanderUrug,1,8597.5,8597.5,1,8597.5,100.0,100.0
Juanmaster2002,ItauUruguay,1,117.83,117.83,1,117.83,100.0,100.0
KiwichangeUY,BancoFucerep,2,20.09,10.045,2,20.09,100.0,100.0
NeoxCript,OcaBlue,1,27019.11,27019.11,1,27019.11,100.0,100.0
NicoGonzalezUy,SantanderUrug,1,25000.0,25000.0,2,46472.14,50.0,53.79567198756072
NicoGonzalezUy,ScotiabankUruguay,1,21472.14,21472.14,2,46472.14,50.0,46.20432801243928
P2P-005858vl,SantanderUrug,1,21575.75,21575.75,1,21575.75,100.0,100.0
P2P-00f2add1,ItauUruguay,1,320.64,320.64,1,320.64,100.0,100.0
P2P-03da539f,ScotiabankUruguay,1,32431.0,32431.0,2,37131.0,50.0,87.3421130591689
P2P-03da539f,BBVAUruguay,1,4700.0,4700.0,2,37131.0,50.0,12.657886940831112
P2P-052d3ebx,OcaBlue,1,36982.77,36982.77,1,36982.77,100.0,100.0
P2P-05a3a5lu,OcaBlue,1,1810.0,1810.0,1,1810.0,100.0,100.0
P2P-08526bn6,ItauUruguay,1,128.5,128.5,1,128.5,100.0,100.0
P2P-08e03fsv,ItauUruguay,1,403.3,403.3,1,403.3,100.0,100.0
P2P-0b1d2exa,OcaBlue,1,1894.53,1894.53,1,1894.53,100.0,100.0
P2P-0dc8a3t7,BBVAUruguay,1,93500.0,93500.0,2,131500.0,50.0,71.10266159695817
P2P-0dc8a3t7,OcaBlue,1,38000.0,38000.0,2,131500.0,50.0,28.89733840304182
P2P-14f1f0rf,ItauUruguay,1,217.75,217.75,1,217.75,100.0,100.0
