Counterparty,year_month,monthly_operations,monthly_volume,avg_monthly_volume,payment_methods_monthly
ACEM_MVD,2025-03,1,8980.0,8980.0,1
AF-Cripto,2025-04,1,400.35,400.35,1
AgustinM,2024-08,1,501.0,501.0,1
Aleuzenev1992,2025-05,1,5425.22,5425.22,1
BolsoChange,2025-05,1,41963.79,41963.79,1
BoogieMan2K,2025-05,2,1037.6,518.8,1
Candor2,2025-04,1,101.05,101.05,1
Capicua373,2025-04,1,72000.0,72000.0,1
Carlosmroj,2024-07,1,897.25,897.25,1
Christian,2025-05,2,1305.5,652.75,1
Cmanuel_uy,2025-05,3,103810.0,34603.333333333336,2
Cosmo_Change,2025-05,1,667.0,667.0,1
Criptobuy,2025-04,1,3532.35,3532.35,1
Criptobuy,2025-05,1,1242.66,1242.66,1
CryptoMefis,2024-07,1,500.0,500.0,1
CryptoMinds-,2025-03,1,251.44,251.44,1
CryptooP2P-,2025-04,1,15825.48,15825.48,1
DMV_BTC,2024-07,1,313.13,313.13,1
El_Elias27,2025-04,1,243.67,243.67,1
EmiMz0806,2025-04,1,22163.88,22163.88,1
Franchoo01,2025-04,2,995.26,497.63,1
Gastoniwcc,2024-07,1,500.0,500.0,1
GroupSensei,2025-05,1,291.0,291.0,1
IluminaTuAlma,2025-04,1,54000.0,54000.0,1
Impulsotrading,2025-03,1,499.94,499.94,1
Jeyurmona23,2024-07,1,399.95,399.95,1
Jeyurmona23,2024-08,1,1000.0,1000.0,1
JoacoRSC,2025-05,1,529.07,529.07,1
JuanSH,2025-03,1,8597.5,8597.5,1
Juanmaster2002,2025-03,1,117.83,117.83,1
KiwichangeUY,2025-03,2,20.09,10.045,1
NeoxCript,2025-03,1,27019.11,27019.11,1
NicoGonzalezUy,2025-05,2,46472.14,23236.07,2
P2P-005858vl,2025-03,1,21575.75,21575.75,1
P2P-00f2add1,2025-04,1,320.64,320.64,1
P2P-03da539f,2025-04,2,37131.0,18565.5,2
P2P-052d3ebx,2025-04,1,36982.77,36982.77,1
P2P-05a3a5lu,2025-04,1,1810.0,1810.0,1
P2P-08526bn6,2025-03,1,128.5,128.5,1
P2P-08e03fsv,2025-05,1,403.3,403.3,1
P2P-0b1d2exa,2025-03,1,1894.53,1894.53,1
P2P-0dc8a3t7,2025-04,2,131500.0,65750.0,2
P2P-14f1f0rf,2025-05,1,217.75,217.75,1
P2P-16d3d2ak,2025-03,1,201.01,201.01,1
P2P-17fcd4oz,2025-04,1,171.4,171.4,1
P2P-19e2a0cz,2025-03,1,40000.0,40000.0,1
P2P-1b1b53o8,2025-04,1,604.54,604.54,1
P2P-1eb491ug,2025-04,1,1033.0,1033.0,1
P2P-20ef4338,2025-05,6,229825.0,38304.166666666664,1
P2P-26235ct1,2025-05,1,8000.0,8000.0,1
P2P-2815b9b6,2025-03,1,11381.44,11381.44,1
P2P-295fdcys,2025-04,1,18000.0,18000.0,1
P2P-29ba96rr,2025-03,1,20600.0,20600.0,1
P2P-2b82cbiz,2025-03,1,205.82,205.82,1
P2P-2c9a22fw,2025-04,2,61068.42,30534.21,1
P2P-2d243a5d,2025-03,1,54287.46,54287.46,1
P2P-2d243a5d,2025-04,7,355019.82999999996,50717.11857142857,1
P2P-2eea6665,2025-04,2,33000.0,16500.0,1
P2P-305b9ajr,2025-04,1,1000.0,1000.0,1
P2P-316feaqf,2025-04,1,37841.6,37841.6,1
P2P-320874cy,2025-05,1,8652.16,8652.16,1
P2P-3306a1ku,2025-03,1,20510.88,20510.88,1
P2P-3312c2kp,2025-04,1,120.66,120.66,1
P2P-344833ni,2025-04,1,6112.68,6112.68,1
P2P-3478c3ar,2025-03,1,1021.0,1021.0,1
P2P-36e2afdk,2025-04,1,1209.38,1209.38,1
P2P-3a08f7i0,2025-03,3,1498.0,499.3333333333333,1
P2P-3a7d63mw,2025-03,1,21500.05,21500.05,1
P2P-3ca1005g,2025-04,1,37545.21,37545.21,1
P2P-3ccfc2kp,2025-04,1,489.99,489.99,1
P2P-3db9b5mh,2025-05,1,59000.0,59000.0,1
P2P-3ed1d0yj,2025-03,1,100.14,100.14,1
P2P-3f709fmu,2025-04,2,24035.0,12017.5,2
P2P-413ceagy,2025-05,1,151.68,151.68,1
P2P-426ff1qp,2025-04,5,90290.92,18058.184,2
P2P-457943cp,2025-04,1,301.22,301.22,1
P2P-457943cp,2025-05,1,498.44,498.44,1
P2P-47b886qt,2025-04,1,2000.0,2000.0,1
P2P-516e5080,2025-04,1,37633.32,37633.32,1
P2P-5249e3nq,2025-04,1,53674.92,53674.92,1
P2P-52dcddtt,2025-04,3,54498.259999999995,18166.086666666666,1
P2P-54468f6a,2025-03,1,63000.0,63000.0,1
P2P-55cdd7ej,2025-03,1,17643.0,17643.0,1
P2P-58e04dzw,2025-03,1,413.09,413.09,1
P2P-5c9cd3eq,2025-04,1,1299.73,1299.73,1
P2P-5d7a64dj,2025-04,2,584.75,292.375,1
P2P-5dcb70xu,2025-03,1,38355.86,38355.86,1
P2P-5ddaa7qs,2025-05,1,4154.92,4154.92,1
P2P-5f6ce2pi,2025-03,1,20000.0,20000.0,1
P2P-617b67s9,2025-04,1,22462.07,22462.07,1
P2P-63b24ckm,2025-05,1,21000.0,21000.0,1
