Counterparty,most_active_hour,most_active_weekday_int,hour_spread,unique_hour_day_combinations,most_active_weekday_name
P2P-3ca1005g,21,3,0,1,Miércoles
P2P-805322it,17,5,0,2,Viernes
KiwichangeUY,12,1,0,1,Lunes
juanjdp,13,3,2,3,Miércoles
P2P-413ceagy,14,3,0,1,Miércoles
IluminaTuAlma,20,3,0,1,Miércoles
Franchoo01,14,5,0,1,Viernes
P2P-8aa8aepp,15,1,4,2,Lunes
CryptoMefis,19,7,0,1,Domingo
P2P-3db9b5mh,16,5,0,1,Viernes
P2P-14f1f0rf,13,1,0,1,Lunes
P2P-36e2afdk,11,1,0,1,Lunes
P2P-b78d47da,13,3,0,1,Miércoles
P2P-e30816to,17,1,0,1,Lunes
P2P-d238f8ea,14,5,0,1,Viernes
Perritomalvado,19,2,0,1,Martes
P2P-850fa7su,17,1,0,1,Lunes
P2P-3a7d63mw,13,6,0,1,Sábado
P2P-2c9a22fw,20,3,0,2,Miércoles
P2P-3a08f7i0,18,2,0,1,Martes
Capicua373,16,3,0,1,Miércoles
Christian,20,5,1,2,Viernes
P2P-7028feyo,13,4,0,1,Jueves
P2P-3478c3ar,13,1,0,1,Lunes
P2P-d328441g,22,4,0,1,Jueves
P2P-426ff1qp,18,3,6,5,Miércoles
P2P-8efc2bzm,13,3,0,1,Miércoles
P2P-798968e1,15,4,0,1,Jueves
P2P-718b41ol,17,2,0,1,Martes
P2P-bb561bea,20,7,0,1,Domingo
P2P-26235ct1,21,6,0,1,Sábado
EmiMz0806,14,5,0,1,Viernes
P2P-b894beif,12,5,1,2,Viernes
P2P-86f714gg,16,3,0,1,Miércoles
P2P-a4c02fyy,12,5,0,1,Viernes
Yolicm2,22,4,0,1,Jueves
P2P-a1fc8bta,14,2,0,1,Martes
P2P-995f9drw,14,1,3,2,Lunes
el_carpincho,13,7,3,2,Domingo
P2P-85f40bca,20,6,0,1,Sábado
P2P-29ba96rr,16,1,0,1,Lunes
P2P-701a759w,14,4,0,1,Jueves
P2P-e982859p,17,7,0,1,Domingo
P2P-3ccfc2kp,15,2,0,1,Martes
JoacoRSC,23,5,0,1,Viernes
P2P-c8d34aot,12,5,0,1,Viernes
P2P-00f2add1,13,4,0,1,Jueves
Shorminoguez,14,4,11,3,Jueves
P2P-6b3180cp,10,3,5,3,Miércoles
Rodusdt,16,3,0,1,Miércoles
P2P-5dcb70xu,19,7,0,1,Domingo
P2P-5249e3nq,20,2,0,1,Martes
P2P-b70609bj,14,4,0,1,Jueves
P2P-c7cb37yq,19,7,0,1,Domingo
emilianochinelli,20,4,5,5,Jueves
P2P-f82ccbmg,21,4,0,1,Jueves
P2P-88fb85ju,18,1,0,1,Lunes
P2P-20ef4338,16,1,5,5,Lunes
