Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv,high_volume_vip,high_frequency_vip,daily_trader,long_term_trader,vip_score,vip_tier
P2P-426ff1qp,5,90290.92,18058.184,21700.0,1941.4499999999998,46.54600000000001,0.5488897885732589,2025-04-04T18:58:08.000000-0300,2025-04-15T17:23:08.000000-0300,2,1,10,0.45454545454545453,8208.265454545455,0.01179241585900526,true,true,false,false,74.54794520547945,Gold
Cmanuel_uy,3,103810.0,34603.333333333336,28500.0,2413.96,43.00666666666667,0.028867513459479646,2025-05-19T19:41:37.000000-0300,2025-05-28T15:22:45.000000-0300,2,1,8,0.3333333333333333,11534.444444444445,0.0006712334551111373,true,true,false,false,74.43835616438356,Gold
P2P-b3bd895x,2,201170.48,100585.24,100585.24,4408.110000000001,45.625,0.03535533905932537,2025-04-04T14:02:31.000000-0300,2025-04-04T15:09:06.000000-0300,2,1,0,2.0,201170.48,0.0007749115410263095,true,true,true,false,74.0,Gold
P2P-0dc8a3t7,2,131500.0,65750.0,65750.0,2806.83,46.834999999999994,0.049497474683056014,2025-04-09T21:32:36.000000-0300,2025-04-10T13:14:21.000000-0300,2,1,0,2.0,131500.0,0.001056847970173076,true,true,true,false,74.0,Gold
P2P-2d243a5d,8,409307.29,51163.41125,48355.83500000001,8892.92,45.89875,0.9667831415871585,2025-03-20T18:58:09.000000-0300,2025-04-13T20:01:15.000000-0300,1,1,24,0.32,16372.291599999999,0.02106338716385868,true,true,false,false,73.31506849315069,Gold
P2P-2c9a22fw,2,61068.42,30534.21,30534.21,1302.1,46.870000000000005,0.18384776310850345,2025-04-09T20:13:13.000000-0300,2025-04-14T20:48:42.000000-0300,1,1,5,0.3333333333333333,10178.07,0.003922504013409504,true,true,false,false,72.27397260273973,Gold
P2P-20ef4338,6,229825.0,38304.166666666664,43153.0,5304.46,43.42666666666667,0.34644864939362807,2025-05-12T19:45:19.000000-0300,2025-05-16T17:49:28.000000-0300,1,1,3,1.5,57456.25,0.007977785908665061,true,true,false,false,72.16438356164383,Gold
P2P-52dcddtt,3,54498.259999999995,18166.086666666666,16125.15,1167.15,46.550000000000004,0.3724244889907202,2025-04-06T17:03:37.000000-0300,2025-04-08T17:23:35.000000-0300,1,1,2,1.0,18166.086666666666,0.008000526079285074,true,true,false,false,72.10958904109589,Gold
P2P-91cd57bv,2,135881.94,67940.97,67940.97,3050.1000000000004,44.55,0.0,2025-04-03T15:59:59.000000-0300,2025-04-03T16:20:57.000000-0300,1,1,0,2.0,135881.94,0.0,true,true,true,false,72.0,Gold
P2P-b0b58ctm,3,73686.42,24562.14,26210.34,1572.1499999999999,46.85999999999999,0.10392304845413504,2025-04-08T18:10:26.000000-0300,2025-04-09T15:58:32.000000-0300,1,1,0,3.0,73686.42,0.002217734708795029,true,true,true,false,72.0,Gold
NicoGonzalezUy,2,46472.14,23236.07,23236.07,1080.09,43.019999999999996,0.1131370849898477,2025-05-17T21:25:16.000000-0300,2025-05-23T13:53:26.000000-0300,2,1,5,0.3333333333333333,7745.356666666667,0.0026298718035761906,false,true,false,false,69.17176964463619,Gold
P2P-995f9drw,2,44750.0,22375.0,22375.0,985.1600000000001,45.44,1.4849242404917533,2025-03-31T17:34:52.000000-0300,2025-04-07T14:41:28.000000-0300,1,1,6,0.2857142857142857,6392.857142857143,0.03267879050377978,false,true,false,false,65.93334004859015,Gold
P2P-8aa8aepp,2,40000.0,20000.0,20000.0,908.06,44.05,0.21213203435596978,2025-03-31T11:59:26.000000-0300,2025-03-31T15:12:16.000000-0300,1,1,0,2.0,40000.0,0.004815710201043582,false,true,true,false,62.03760708406926,Gold
P2P-03da539f,2,37131.0,18565.5,18565.5,801.42,46.335,0.007071067811869092,2025-04-06T16:56:47.000000-0300,2025-04-06T17:28:11.000000-0300,2,1,0,2.0,37131.0,0.00015260748487901354,false,true,true,false,61.88315971596439,Gold
Capicua373,1,72000.0,72000.0,72000.0,1611.45,44.68,,2025-04-02T16:33:28.000000-0300,2025-04-02T16:33:28.000000-0300,1,1,0,1.0,72000.0,,true,false,false,false,57.0,Silver
P2P-54468f6a,1,63000.0,63000.0,63000.0,1409.71,44.69,,2025-03-25T12:04:57.000000-0300,2025-03-25T12:04:57.000000-0300,1,1,0,1.0,63000.0,,true,false,false,false,57.0,Silver
P2P-3db9b5mh,1,59000.0,59000.0,59000.0,1342.43,43.95,,2025-05-02T16:33:48.000000-0300,2025-05-02T16:33:48.000000-0300,1,1,0,1.0,59000.0,,true,false,false,false,57.0,Silver
P2P-88fb85ju,1,55883.3,55883.3,55883.3,1202.05,46.49,,2025-04-07T18:33:09.000000-0300,2025-04-07T18:33:09.000000-0300,1,1,0,1.0,55883.3,,true,false,false,false,57.0,Silver
IluminaTuAlma,1,54000.0,54000.0,54000.0,1196.01,45.15,,2025-04-02T20:21:32.000000-0300,2025-04-02T20:21:32.000000-0300,1,1,0,1.0,54000.0,,true,false,false,false,57.0,Silver
P2P-b78d47da,1,53962.74,53962.74,53962.74,1153.05,46.8,,2025-04-09T13:28:44.000000-0300,2025-04-09T13:28:44.000000-0300,1,1,0,1.0,53962.74,,true,false,false,false,57.0,Silver
P2P-5249e3nq,1,53674.92,53674.92,53674.92,1201.05,44.69,,2025-04-01T20:10:47.000000-0300,2025-04-01T20:10:47.000000-0300,1,1,0,1.0,53674.92,,true,false,false,false,57.0,Silver
P2P-a79d9blj,1,53266.56,53266.56,53266.56,1201.05,44.35,,2025-03-25T20:18:31.000000-0300,2025-03-25T20:18:31.000000-0300,1,1,0,1.0,53266.56,,true,false,false,false,57.0,Silver
P2P-2eea6665,2,33000.0,16500.0,16500.0,706.02,46.74,0.0,2025-04-14T20:43:12.000000-0300,2025-04-14T20:54:51.000000-0300,1,1,0,2.0,33000.0,0.0,false,true,true,false,56.78102584435714,Silver
P2P-3f709fmu,2,24035.0,12017.5,12017.5,526.34,45.75,0.21213203435596223,2025-04-04T14:58:47.000000-0300,2025-04-05T16:51:06.000000-0300,2,1,1,1.0,12017.5,0.004636765778272398,false,true,false,false,52.10364167718806,Silver
P2P-c5525bjo,1,43000.0,43000.0,43000.0,942.98,45.6,,2025-04-04T19:52:55.000000-0300,2025-04-04T19:52:55.000000-0300,1,1,0,1.0,43000.0,,false,false,false,false,49.29042761537445,Silver
BolsoChange,1,41963.79,41963.79,41963.79,997.95,42.05,,2025-05-19T00:48:12.000000-0300,2025-05-19T00:48:12.000000-0300,1,1,0,1.0,41963.79,,false,false,false,false,48.51229589445987,Silver
P2P-b3c8cf3u,2,20496.12,10248.06,10248.06,487.9,41.925,0.516187950266175,2025-05-15T18:54:40.000000-0300,2025-05-19T15:06:01.000000-0300,1,1,3,0.5,5124.03,0.012312175319407873,false,true,false,false,47.55574354434218,Silver
P2P-19e2a0cz,1,40000.0,40000.0,40000.0,899.88,44.45,,2025-03-22T14:51:59.000000-0300,2025-03-22T14:51:59.000000-0300,1,1,0,1.0,40000.0,,false,false,false,false,47.03760708406926,Silver
P2P-5dcb70xu,1,38355.86,38355.86,38355.86,899.95,42.62,,2025-03-30T19:43:38.000000-0300,2025-03-30T19:43:38.000000-0300,1,1,0,1.0,38355.86,,false,false,false,false,45.802956301289214,Silver
P2P-316feaqf,1,37841.6,37841.6,37841.6,801.05,47.24,,2025-04-09T19:53:54.000000-0300,2025-04-09T19:53:54.000000-0300,1,1,0,1.0,37841.6,,false,false,false,false,45.41677780581288,Silver
P2P-516e5080,1,37633.32,37633.32,37633.32,801.05,46.98,,2025-04-08T18:26:13.000000-0300,2025-04-08T18:26:13.000000-0300,1,1,0,1.0,37633.32,,false,false,false,false,45.26037198572613,Silver
P2P-3ca1005g,1,37545.21,37545.21,37545.21,801.05,46.87,,2025-04-09T21:42:43.000000-0300,2025-04-09T21:42:43.000000-0300,1,1,0,1.0,37545.21,,false,false,false,false,45.194206646721696,Silver
P2P-052d3ebx,1,36982.77,36982.77,36982.77,789.05,46.87,,2025-04-09T21:14:54.000000-0300,2025-04-09T21:14:54.000000-0300,1,1,0,1.0,36982.77,,false,false,false,false,44.7718478535126,Silver
Ronuk,1,33512.23,33512.23,33512.23,750.05,44.68,,2025-03-25T22:25:21.000000-0300,2025-03-25T22:25:21.000000-0300,1,1,0,1.0,33512.23,,false,false,false,false,42.16567993127396,Silver
P2P-d8ab33au,2,12000.0,6000.0,6000.0,268.81,44.65,0.04242640687119446,2025-04-02T16:25:50.000000-0300,2025-04-02T17:43:33.000000-0300,1,1,0,2.0,12000.0,0.0009501994819976362,false,true,true,false,41.011282125220774,Silver
P2P-a42ae0em,1,30864.0,30864.0,30864.0,694.5,44.44,,2025-04-01T15:28:52.000000-0300,2025-04-01T15:28:52.000000-0300,1,1,0,1.0,30864.0,,false,false,false,false,40.17701762606784,Silver
master1835,3,9100.0,3033.3333333333335,3800.0,9126.57,0.9976666666666666,0.0011547005383792366,2024-07-08T14:12:39.000000-0300,2024-07-11T16:10:23.000000-0300,1,1,3,0.75,2275.0,0.0011574011410416672,false,true,false,false,38.99793917326959,Bronze
emilianochinelli,5,4169.8099999999995,833.9619999999999,398.75,4051.94,1.0076,0.02370232056149778,2024-07-10T15:35:49.000000-0300,2024-08-02T20:14:18.000000-0300,2,2,23,0.20833333333333334,173.7420833333333,0.023523541644995812,false,true,false,false,38.39155183248331,Bronze
Criptobuy,2,4775.01,2387.505,2387.505,4712.26,1.0099999999999998,0.009899494936611596,2025-04-13T17:38:30.000000-0300,2025-05-15T21:01:01.000000-0300,1,1,32,0.06060606060606061,144.69727272727275,0.009801480135259008,false,true,false,true,37.339171512596785,Bronze
NeoxCript,1,27019.11,27019.11,27019.11,610.05,44.29,,2025-03-20T17:34:38.000000-0300,2025-03-20T17:34:38.000000-0300,1,1,0,1.0,27019.11,,false,false,false,false,37.28973524853116,Bronze
juanjdp,3,2320.99,773.6633333333333,500.0,2295.9300000000003,1.0076666666666665,0.009504384952922182,2025-04-12T13:31:59.000000-0300,2025-05-07T15:04:03.000000-0300,2,1,25,0.11538461538461539,89.26884615384614,0.009432072397871832,false,true,false,false,37.112787655349976,Bronze
P2P-d17b99yo,3,3526.32,1175.44,1508.94,3499.8500000000004,1.0076666666666667,0.0015275252316518148,2025-04-05T17:10:43.000000-0300,2025-05-07T13:46:52.000000-0300,1,1,31,0.09375,110.1975,0.0015159033063034879,false,true,false,true,36.34668550230368,Bronze
P2P-6b3180cp,3,3549.17,1183.0566666666666,1006.94,3536.8500000000004,1.0039999999999998,0.002999999999999975,2025-03-29T13:40:41.000000-0300,2025-04-23T15:46:02.000000-0300,1,1,25,0.11538461538461539,136.50653846153847,0.002988047808764916,false,true,false,false,36.03507736206278,Bronze
el_carpincho,2,5000.0,2500.0,2500.0,4956.38,1.009,0.0014142135623730178,2025-04-06T16:49:27.000000-0300,2025-04-07T13:04:39.000000-0300,1,1,0,2.0,5000.0,0.0014015991698444182,false,true,true,false,35.754700885508655,Bronze
P2P-7af467qs,2,3500.0,1750.0,1750.0,3339.2999999999997,1.0434999999999999,0.009192388155425127,2025-05-09T13:42:52.000000-0300,2025-05-19T12:48:56.000000-0300,1,1,9,0.2,350.0,0.008809188457522883,false,true,false,false,35.12144130478757,Bronze
poul35,2,309.73,154.865,154.865,309.13,1.0019999999999998,0.0014142135623730178,2025-03-18T16:03:19.000000-0300,2025-04-01T21:17:50.000000-0300,2,1,14,0.13333333333333333,20.648666666666667,0.0014113907808113954,false,true,false,false,34.999711988724954,Bronze
P2P-457943cp,2,799.6600000000001,399.83000000000004,399.83000000000004,795.9,1.0059999999999998,0.007071067811865403,2025-04-10T12:32:53.000000-0300,2025-05-15T12:51:46.000000-0300,1,1,35,0.05555555555555555,22.21277777777778,0.007028894445194239,false,true,false,true,34.518305041199255,Bronze
P2P-a7ed35zs,1,23293.81,23293.81,23293.81,501.05,46.49,,2025-04-07T15:30:25.000000-0300,2025-04-07T15:30:25.000000-0300,1,1,0,1.0,23293.81,,false,false,false,false,34.492257806774084,Bronze
Jeyurmona23,2,1399.95,699.975,699.9749999999999,1397.95,1.001,0.0014142135623731748,2024-07-11T14:15:43.000000-0300,2024-08-06T15:05:11.000000-0300,1,1,26,0.07407407407407407,51.85,0.0014128007616115634,false,true,false,false,34.47593623518014,Bronze
P2P-b894beif,3,2635.92,878.64,1110.94,2609.8500000000004,1.01,0.0,2025-04-04T11:50:50.000000-0300,2025-04-04T12:29:31.000000-0300,1,1,0,3.0,2635.92,0.0,false,true,true,false,33.979418231626,Bronze
P2P-617b67s9,1,22462.07,22462.07,22462.07,501.05,44.83,,2025-04-02T12:24:37.000000-0300,2025-04-02T12:24:37.000000-0300,1,1,0,1.0,22462.07,,false,false,false,false,33.86767082387149,Bronze
P2P-eadba4ij,1,22319.55,22319.55,22319.55,501.0,44.55,,2025-04-03T16:21:59.000000-0300,2025-04-03T16:21:59.000000-0300,1,1,0,1.0,22319.55,,false,false,false,false,33.76064682983095,Bronze
EmiMz0806,1,22163.88,22163.88,22163.88,486.05,45.6,,2025-04-04T14:52:21.000000-0300,2025-04-04T14:52:21.000000-0300,1,1,0,1.0,22163.88,,false,false,false,false,33.643747972461526,Bronze
P2P-bbd542yf,1,22002.2,22002.2,22002.2,500.05,44.0,,2025-05-05T17:48:33.000000-0300,2025-05-05T17:48:33.000000-0300,1,1,0,1.0,22002.2,,false,false,false,false,33.522335964627715,Bronze
