YearMonthStr,monthly_volume
2022-04,885185.1199999998
2022-05,1588946.4299999997
2022-06,1590812.5600000005
2022-07,608970.27
2022-08,187955.00999999995
2022-09,581772.9600000003
2022-10,380730.36000000004
2022-11,105791.36000000002
2022-12,54858.3
2023-01,176571.46000000008
2023-02,52275.24
2023-03,151795.96000000005
2023-04,587337.7399999999
2023-05,244542.15999999997
2023-06,138277.3
2023-07,96356.60000000002
2023-08,104558.48999999998
2023-09,66614.84000000003
2023-10,99393.73000000007
2023-11,439085.54
2023-12,1566770.7100000002
2024-01,167312.91999999995
2024-02,163614.77
2024-03,259434.56999999992
2024-04,176232.00000000003
2024-05,161727.80000000005
2024-06,36518.859999999986
2024-07,63025.58
2024-08,16428.170000000002
2024-09,16515.74
2024-10,38983.05999999999
2024-12,24755.04
2025-01,6067.95
2025-03,1646169.0299999998
2025-04,2202485.7700000005
2025-05,646441.6099999999
