Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
,2365,1.33276955602537,5087.284634249475,11,253030.58,4.235066948555327
P2P-2d243a5d,8,1.0,51163.41125,1,112510.8,0.0
P2P-20ef4338,6,1.0,38304.166666666664,1,56046.0,0.0
P2P-426ff1qp,5,1.0,18058.184,1,23186.0,0.0
emilianochinelli,5,1.0,833.9619999999999,1,2576.0,0.0
P2P-b0b58ctm,3,1.0,24562.14,1,28660.14,0.0
P2P-d17b99yo,3,1.0,1175.44,1,1513.44,0.0
juanjdp,3,1.0,773.6633333333333,1,1322.04,0.0
P2P-6b3180cp,3,1.0,1183.0566666666666,1,1601.54,0.0
P2P-db68f5rk,3,1.0,232.39666666666668,1,272.1,0.0
Shorminoguez,3,1.0,361.6866666666667,1,567.46,0.0
master1835,3,1.0,3033.3333333333335,1,4900.0,0.0
P2P-3f709fmu,2,1.0,12017.5,1,18905.0,0.0
Criptobuy,2,1.0,2387.505,1,3532.35,0.0
NicoGonzalezUy,2,1.0,23236.07,1,25000.0,0.0
P2P-8aa8aepp,2,1.0,20000.0,1,20000.0,0.0
P2P-b9dd8fdt,2,1.0,150.33,1,196.61,0.0
Christian,2,1.0,652.75,1,804.0,0.0
P2P-b3bd895x,2,1.0,100585.24,1,146447.48,0.0
P2P-2c9a22fw,2,1.0,30534.21,1,37649.35,0.0
BoogieMan2K,2,1.0,518.8,1,520.05,0.0
P2P-d21c47dq,2,1.0,131.32,1,150.0,0.0
Cmanuel_uy,2,1.5,51905.0,2,75310.0,5.283333333333333
P2P-5d7a64dj,2,1.0,292.375,1,293.28,0.0
el_carpincho,2,1.0,2500.0,1,3000.0,0.0
P2P-805322it,2,1.0,155.32999999999998,1,202.57,0.0
poul35,2,1.0,154.865,1,156.1,0.0
P2P-995f9drw,2,1.0,22375.0,1,22550.0,0.0
Papi Greco,2,1.0,372.97,1,400.49,0.0
P2P-b3c8cf3u,2,1.0,10248.06,1,12687.0,0.0
Jeyurmona23,2,1.0,699.975,1,1000.0,0.0
P2P-52dcddtt,2,1.5,27249.129999999997,2,30539.34,5.158333333333333
P2P-9b7001cz,2,1.0,97.75999999999999,1,135.66,0.0
P2P-7af467qs,2,1.0,1750.0,1,3000.0,0.0
P2P-0dc8a3t7,2,1.0,65750.0,1,93500.0,0.0
P2P-457943cp,2,1.0,399.83000000000004,1,498.44,0.0
P2P-d8ab33au,2,1.0,6000.0,1,8000.0,0.0
P2P-b16270ur,1,1.0,156.72,1,156.72,0.0
P2P-7b4cc2q5,1,1.0,4157.0,1,4157.0,0.0
P2P-63b24ckm,1,1.0,21000.0,1,21000.0,0.0
P2P-bb561bea,1,1.0,12426.48,1,12426.48,0.0
Impulsotrading,1,1.0,499.94,1,499.94,0.0
P2P-91cd57bv,1,2.0,135881.94,2,135881.94,20.966666666666665
P2P-a79d9blj,1,1.0,53266.56,1,53266.56,0.0
JoacoRSC,1,1.0,529.07,1,529.07,0.0
EmiMz0806,1,1.0,22163.88,1,22163.88,0.0
P2P-5c9cd3eq,1,1.0,1299.73,1,1299.73,0.0
P2P-54468f6a,1,1.0,63000.0,1,63000.0,0.0
Yolicm2,1,1.0,140.0,1,140.0,0.0
P2P-eaaa84sr,1,1.0,131.0,1,131.0,0.0
P2P-bbd542yf,1,1.0,22002.2,1,22002.2,0.0
Visequera,1,1.0,1000.0,1,1000.0,0.0
P2P-320874cy,1,1.0,8652.16,1,8652.16,0.0
P2P-c5334f0i,1,1.0,300.0,1,300.0,0.0
BolsoChange,1,1.0,41963.79,1,41963.79,0.0
P2P-c04b17kv,1,1.0,440.69,1,440.69,0.0
nacho9026,1,1.0,549.94,1,549.94,0.0
P2P-295fdcys,1,1.0,18000.0,1,18000.0,0.0
P2P-413ceagy,1,1.0,151.68,1,151.68,0.0
P2P-08e03fsv,1,1.0,403.3,1,403.3,0.0
Aleuzenev1992,1,1.0,5425.22,1,5425.22,0.0
P2P-c5525bjo,1,1.0,43000.0,1,43000.0,0.0
P2P-b7b4983u,1,1.0,287.05,1,287.05,0.0
P2P-2eea6665,1,2.0,33000.0,2,33000.0,11.65
P2P-14f1f0rf,1,1.0,217.75,1,217.75,0.0
P2P-88fb85ju,1,1.0,55883.3,1,55883.3,0.0
AF-Cripto,1,1.0,400.35,1,400.35,0.0
P2P-617b67s9,1,1.0,22462.07,1,22462.07,0.0
P2P-979a36ft,1,1.0,100.0,1,100.0,0.0
P2P-3312c2kp,1,1.0,120.66,1,120.66,0.0
P2P-5249e3nq,1,1.0,53674.92,1,53674.92,0.0
P2P-b6f26baj,1,1.0,11077.67,1,11077.67,0.0
xMellx,1,1.0,306.94,1,306.94,0.0
P2P-e30816to,1,1.0,8854.41,1,8854.41,0.0
P2P-316feaqf,1,1.0,37841.6,1,37841.6,0.0
P2P-03da539f,1,2.0,37131.0,2,37131.0,31.4
Candor2,1,1.0,101.05,1,101.05,0.0
P2P-bee3bdla,1,1.0,15404.26,1,15404.26,0.0
