session_id,session_start_hour,session_end_hour,total_ops,total_volume,hour_span
2251,13,13,1,2007.94,0
1581,14,14,2,115000.0,0
673,17,17,1,250.0,0
1974,19,19,1,5000.95,0
1203,17,17,2,1148.91,0
1078,17,17,1,103.0,0
2230,15,15,1,1860.58,0
1602,13,13,1,350.0,0
289,13,13,1,21000.0,0
1849,0,0,1,2261.95,0
1712,15,15,2,900.0,0
819,15,15,1,4500.0,0
24,17,18,5,36069.97,1
2501,13,13,1,119.35,0
533,21,21,1,45.0,0
1209,9,9,1,200.58,0
1081,19,19,1,2000.0,0
804,14,14,1,600.37,0
670,18,18,1,600.0,0
1474,19,19,1,200.0,0
676,13,13,3,2383.96,0
2105,12,12,1,1060.0,0
12,11,12,10,33664.03,1
1727,18,18,1,500.0,0
1971,11,11,1,799.68,0
2242,14,14,1,508.42,0
1968,15,15,1,2100.0,0
3,10,9,5,13586.0,1
941,12,12,1,100.95,0
1986,12,12,1,2000.0,0
9,20,20,2,7016.0,0
2498,16,16,1,43153.0,0
1334,11,11,1,2626.72,0
411,14,14,1,200.0,0
2108,16,16,1,6279.87,0
1182,8,8,1,300.0,0
1998,13,13,1,5000.0,0
2519,19,19,1,28500.0,0
2236,11,11,1,725.0,0
2507,13,14,2,799.94,1
1730,12,12,1,200.0,0
396,21,21,1,2831.85,0
1584,20,20,1,7000.0,0
810,12,12,2,4057.42,0
530,18,18,1,33725.0,0
402,20,20,1,500.0,0
2522,17,17,1,8652.16,0
271,12,12,2,3774.61,0
542,20,20,1,88.38,0
807,11,11,1,100.0,0
1590,10,10,1,8000.0,0
545,11,11,1,34.64,0
2114,17,17,1,400.0,0
1599,9,9,1,400.0,0
2111,11,11,2,1360.3,0
2120,14,14,1,1000.0,0
1855,20,20,1,4868.45,0
527,14,14,1,25.66,0
548,9,9,1,117.61,0
2370,18,18,1,54287.46,0
1063,21,21,1,600.0,0
265,22,22,1,7639.2,0
789,4,4,1,2053.33,0
1864,10,10,1,1316.1,0
2495,20,20,1,36000.0,0
1846,18,18,2,4520.0,0
1593,14,14,3,3398.6,0
1331,17,17,1,515.0,0
423,20,20,1,7299.77,0
1197,13,13,1,7000.0,0
1867,21,21,1,2002.0,0
274,20,20,1,80500.0,0
1843,12,12,1,400.0,0
2129,13,12,2,719.38,1
929,15,15,1,6087.0,0
1057,12,12,1,519.5,0
1066,15,15,1,3026.9,0
18,17,17,1,16000.0,0
1212,15,15,1,665.88,0
798,8,8,1,223.28,0
283,1,1,1,5688.47,0
1316,10,10,1,162.35,0
30,21,21,1,1480.0,0
152,22,22,1,25.05,0
143,23,23,1,29.72,0
280,18,18,2,83541.3,0
1587,13,13,1,9450.0,0
1450,11,11,1,200.0,0
1575,12,11,2,680.0,1
2376,16,16,1,46913.0,0
551,23,23,1,258.2,0
1995,13,13,1,850.33,0
536,10,10,1,26.84,0
1051,19,19,1,153.76,0
1322,16,16,1,810.0,0
539,23,23,1,180.55,0
286,17,17,1,12000.0,0
158,20,20,2,11206.2,0
1733,15,15,1,414.0,0
15,10,10,3,7610.0,0
2099,13,13,1,1500.0,0
6,0,0,2,5755.0,0
1194,13,13,1,4000.0,0
1578,19,19,1,18840.0,0
1072,19,19,1,520.0,0
1837,10,10,1,1500.0,0
268,15,15,2,1111.5,0
21,0,0,1,1100.0,0
1462,23,23,1,495.0,0
1459,20,20,1,500.0,0
664,15,15,1,665.11,0
1840,16,16,1,457.0,0
1200,17,17,1,3674.1,0
1465,19,19,1,200.0,0
1328,22,22,2,395.0,0
1736,9,9,1,1045.0,0
1721,10,10,1,1100.0,0
950,11,11,1,500.0,0
2513,19,19,1,104.05,0
658,15,15,1,560.0,0
667,14,14,1,500.0,0
1069,14,14,1,214.31,0
1992,8,8,1,2901.61,0
926,11,11,1,470.0,0
1605,21,21,1,3100.0,0
816,13,13,1,177.38,0
923,11,11,1,110.0,0
405,15,15,2,1385.6,0
661,19,19,1,125.29,0
813,10,10,1,120.54,0
1983,23,23,1,2000.0,0
149,16,16,1,11793.0,0
1989,11,11,1,500.5,0
1456,18,18,1,220.0,0
408,9,9,1,300.0,0
1054,22,22,1,436.48,0
2260,14,14,3,4884.2,0
1706,12,12,1,200.0,0
1709,19,19,1,400.0,0
277,13,13,3,12889.880000000001,0
1191,15,15,2,2476.6800000000003,0
1724,13,13,1,200.0,0
1340,9,9,1,196.0,0
2117,12,12,1,400.0,0
1188,8,8,1,200.94,0
554,17,17,1,25.0,0
1185,14,14,2,2004.08,0
688,18,18,1,500.0,0
2510,15,15,1,10777.15,0
414,18,18,1,247.34,0
944,17,17,1,200.0,0
