start_hour,num_sessions,total_volume,avg_duration,avg_operations
0,24,103980.98000000001,0.02361111111111111,1.0416666666666667
1,11,75357.29000000001,0.0,1.0
2,1,27.0,0.0,1.0
3,2,19423.98,0.0,1.0
4,2,2633.84,0.0,1.0
5,3,1470.78,0.0,1.0
6,3,1000.8900000000001,0.0,1.0
7,8,16034.029999999999,3.49375,1.125
8,40,58419.60999999999,3.255833333333333,1.225
9,94,214817.87000000002,4.750531914893617,1.3404255319148937
10,129,408319.10000000003,4.926356589147287,1.3255813953488371
11,165,625879.23,4.705050505050506,1.4363636363636363
12,209,813270.8999999996,5.79425837320574,1.444976076555024
13,220,1526967.3299999998,6.115227272727273,1.5
14,223,1380608.3700000003,4.097159940209268,1.345291479820628
15,210,1480899.2200000002,5.504365079365077,1.4333333333333333
16,218,2062795.2999999996,4.521483180428134,1.3990825688073394
17,192,1381162.9500000002,4.199826388888889,1.3125
18,178,1518034.2900000005,3.8998127340823974,1.3370786516853932
19,169,1277773.9899999995,2.9391518737672584,1.2248520710059172
20,151,1126957.4199999997,4.106953642384106,1.3377483443708609
21,117,715409.8699999999,2.862678062678062,1.1965811965811965
22,85,322576.09,2.2650980392156863,1.188235294117647
23,73,200494.67999999996,0.7095890410958904,1.1095890410958904
