Counterparty,payment_method,operations_with_method,volume_with_method,avg_volume_with_method,total_operations_cp,total_volume_cp,pct_operations,pct_volume
ACEM_MVD,SantanderUrug,1,8980.0,8980.0,1,8980.0,100.0,100.0
AF-Cripto,SantanderUrug,1,400.35,400.35,1,400.35,100.0,100.0
Afrontora76,ScotiabankUruguay,1,4440.0,4440.0,1,4440.0,100.0,100.0
Agucrypto,ItauUruguay,1,6655.0,6655.0,1,6655.0,100.0,100.0
AgusBonilla,ItauUruguay,1,7300.0,7300.0,1,7300.0,100.0,100.0
AgustinM,ItauUruguay,1,501.0,501.0,1,501.0,100.0,100.0
AgustinMoreira,RedPagos,1,5000.0,5000.0,1,5000.0,100.0,100.0
Aleuzenev1992,ScotiabankUruguay,1,5425.22,5425.22,1,5425.22,100.0,100.0
AnaelaCRP,BankRepublicUruguay,1,2300.0,2300.0,1,2300.0,100.0,100.0
Andresovich,ItauUruguay,1,518.0,518.0,1,518.0,100.0,100.0
Angela,OcaBlue,1,5000.0,5000.0,1,5000.0,100.0,100.0
ArmanddUSDT,ScotiabankUruguay,1,12000.0,12000.0,1,12000.0,100.0,100.0
BolsoChange,BBVAUruguay,2,110300.0,55150.0,3,152263.79,66.66666666666666,72.4400725871857
BolsoChange,OcaBlue,1,41963.79,41963.79,3,152263.79,33.33333333333333,27.5599274128143
BoogieMan2K,ItauUruguay,3,1557.6499999999999,519.2166666666666,3,1557.6499999999999,100.0,100.0
BrianCryptos,ItauUruguay,1,60000.0,60000.0,1,60000.0,100.0,100.0
BruceR25,ScotiabankUruguay,2,44869.020000000004,22434.510000000002,2,44869.020000000004,100.0,100.0
COMANDOO,Prex,1,124.99,124.99,1,124.99,100.0,100.0
CRYPTOURU,SantanderUrug,4,37000.0,9250.0,4,37000.0,100.0,100.0
Candor2,ItauUruguay,1,101.05,101.05,1,101.05,100.0,100.0
Capicua373,SantanderUrug,1,72000.0,72000.0,1,72000.0,100.0,100.0
Carlosmroj,BBVAUruguay,1,5200.0,5200.0,2,6097.25,50.0,85.2843495018246
Carlosmroj,ItauUruguay,1,897.25,897.25,2,6097.25,50.0,14.715650498175407
Christian,SantanderUrug,3,1410.5,470.1666666666667,3,1410.5,100.0,100.0
Cmanuel_uy,ItauUruguay,2,93500.0,46750.0,3,103810.0,66.66666666666666,90.06839418167807
Cmanuel_uy,SantanderUrug,1,10310.0,10310.0,3,103810.0,33.33333333333333,9.931605818321934
Cosmo_Change,SantanderUrug,1,667.0,667.0,1,667.0,100.0,100.0
CriptoBarinas,ItauUruguay,1,8802.2,8802.2,1,8802.2,100.0,100.0
Criptobuy,SantanderUrug,2,4775.01,2387.505,2,4775.01,100.0,100.0
CryptoMefis,BankRepublicUruguay,1,500.0,500.0,1,500.0,100.0,100.0
CryptoMinds-,OcaBlue,1,251.44,251.44,1,251.44,100.0,100.0
Cryptoagil,,2,1200.0,600.0,2,1200.0,100.0,100.0
CryptooP2P-,SantanderUrug,1,15825.48,15825.48,1,15825.48,100.0,100.0
DMV_BTC,SantanderUrug,1,313.13,313.13,1,313.13,100.0,100.0
DTJUY,SantanderUrug,1,15000.0,15000.0,1,15000.0,100.0,100.0
Ebenezer,,1,5000.0,5000.0,1,5000.0,100.0,100.0
El_Elias27,OcaBlue,1,243.67,243.67,1,243.67,100.0,100.0
Elhombregsto,OcaBlue,1,20000.0,20000.0,2,40000.0,50.0,50.0
Elhombregsto,ScotiabankUruguay,1,20000.0,20000.0,2,40000.0,50.0,50.0
EmiMz0806,ScotiabankUruguay,1,22163.88,22163.88,1,22163.88,100.0,100.0
Falvez86,SantanderUrug,1,9448.04,9448.04,1,9448.04,100.0,100.0
Franchoo01,ItauUruguay,2,995.26,497.63,2,995.26,100.0,100.0
Ganamosss,OcaBlue,1,20000.0,20000.0,1,20000.0,100.0,100.0
Gastoniwcc,BBVAUruguay,1,500.0,500.0,1,500.0,100.0,100.0
GerryARUY,ItauUruguay,1,300.0,300.0,1,300.0,100.0,100.0
GroupSensei,OcaBlue,1,291.0,291.0,1,291.0,100.0,100.0
