Counterparty,year_month,monthly_operations,monthly_volume,avg_monthly_volume,payment_methods_monthly
ACEM_MVD,2025-03,1,8980.0,8980.0,1
AF-Cripto,2025-04,1,400.35,400.35,1
Afrontora76,2025-03,1,4440.0,4440.0,1
Agucrypto,2025-05,1,6655.0,6655.0,1
AgusBonilla,2025-05,1,7300.0,7300.0,1
AgustinM,2024-08,1,501.0,501.0,1
AgustinMoreira,2025-03,1,5000.0,5000.0,1
Aleuzenev1992,2025-05,1,5425.22,5425.22,1
AnaelaCRP,2024-07,1,2300.0,2300.0,1
Andresovich,2025-05,1,518.0,518.0,1
Angela,2025-03,1,5000.0,5000.0,1
ArmanddUSDT,2025-03,1,12000.0,12000.0,1
BolsoChange,2025-05,3,152263.79,50754.59666666667,2
BoogieMan2K,2025-05,3,1557.6499999999999,519.2166666666666,1
BrianCryptos,2025-04,1,60000.0,60000.0,1
BruceR25,2025-04,2,44869.020000000004,22434.510000000002,1
COMANDOO,2025-03,1,124.99,124.99,1
CRYPTOURU,2025-03,1,12000.0,12000.0,1
CRYPTOURU,2025-04,1,5000.0,5000.0,1
CRYPTOURU,2025-05,2,20000.0,10000.0,1
Candor2,2025-04,1,101.05,101.05,1
Capicua373,2025-04,1,72000.0,72000.0,1
Carlosmroj,2024-07,1,897.25,897.25,1
Carlosmroj,2025-05,1,5200.0,5200.0,1
Christian,2025-05,3,1410.5,470.1666666666667,1
Cmanuel_uy,2025-05,3,103810.0,34603.333333333336,2
Cosmo_Change,2025-05,1,667.0,667.0,1
CriptoBarinas,2025-05,1,8802.2,8802.2,1
Criptobuy,2025-04,1,3532.35,3532.35,1
Criptobuy,2025-05,1,1242.66,1242.66,1
CryptoMefis,2024-07,1,500.0,500.0,1
CryptoMinds-,2025-03,1,251.44,251.44,1
Cryptoagil,2024-07,2,1200.0,600.0,1
CryptooP2P-,2025-04,1,15825.48,15825.48,1
DMV_BTC,2024-07,1,313.13,313.13,1
DTJUY,2025-03,1,15000.0,15000.0,1
Ebenezer,2024-08,1,5000.0,5000.0,1
El_Elias27,2025-04,1,243.67,243.67,1
Elhombregsto,2025-04,2,40000.0,20000.0,2
EmiMz0806,2025-04,1,22163.88,22163.88,1
Falvez86,2025-03,1,9448.04,9448.04,1
Franchoo01,2025-04,2,995.26,497.63,1
Ganamosss,2025-03,1,20000.0,20000.0,1
Gastoniwcc,2024-07,1,500.0,500.0,1
GerryARUY,2025-03,1,300.0,300.0,1
GroupSensei,2025-05,1,291.0,291.0,1
Grox,2025-03,1,4500.0,4500.0,1
Guille13,2025-05,1,1600.0,1600.0,1
GulagGhost,2025-05,2,600.0,300.0,1
IluminaTuAlma,2025-04,2,108000.0,54000.0,1
Impulsotrading,2025-03,1,499.94,499.94,1
Intercambio1979,2025-05,1,5000.0,5000.0,1
JaviCambio,2025-04,1,10982.25,10982.25,1
Jeyurmona23,2024-07,1,399.95,399.95,1
Jeyurmona23,2024-08,1,1000.0,1000.0,1
JoacoRSC,2025-05,1,529.07,529.07,1
JorgePerozo,2025-05,1,208.25,208.25,1
Juan,2024-07,1,365.0,365.0,1
JuanSH,2025-03,1,8597.5,8597.5,1
Juanmaster2002,2025-03,1,117.83,117.83,1
KiwichangeUY,2025-03,2,20.09,10.045,1
Lorenzetti-17,2025-04,1,15254.66,15254.66,1
Ludopata,2024-07,1,500.0,500.0,1
MCZUY,2025-05,1,19600.0,19600.0,1
MCriptoUru_,2025-04,1,18241.0,18241.0,1
Madison2020,2025-04,1,5000.0,5000.0,1
Mangri,2025-04,1,8926.23,8926.23,1
Marcelo_Leites,2024-07,2,600.0,300.0,1
Marteen28,2024-08,1,4000.0,4000.0,1
Mi_Querencia,2025-04,1,5580.0,5580.0,1
NeoxCript,2025-03,1,27019.11,27019.11,1
NicoGonzalezUy,2025-05,3,68374.33,22791.443333333333,2
P2P-005858vl,2025-03,1,21575.75,21575.75,1
P2P-00b39ame,2025-03,1,9000.0,9000.0,1
P2P-00f2add1,2025-04,1,320.64,320.64,1
P2P-03da539f,2025-04,2,37131.0,18565.5,2
P2P-052d3ebx,2025-04,1,36982.77,36982.77,1
P2P-05a3a5lu,2025-04,1,1810.0,1810.0,1
P2P-06cf0eb7,2025-04,1,23074.74,23074.74,1
P2P-06f7efvb,2025-05,1,103.65,103.65,1
P2P-08526bn6,2025-03,1,128.5,128.5,1
P2P-08843cu6,2025-04,1,5000.0,5000.0,1
P2P-08e03fsv,2025-05,1,403.3,403.3,1
P2P-09ee271f,2025-04,1,21150.0,21150.0,1
P2P-0b1d2exa,2025-03,1,1894.53,1894.53,1
P2P-0b816fx6,2025-05,4,36000.0,9000.0,1
P2P-0c9aaaxh,2025-03,1,8200.0,8200.0,1
P2P-0dc8a3t7,2025-04,3,225500.0,75166.66666666667,2
P2P-0f33c4lb,2025-05,1,500.0,500.0,1
P2P-11c417u1,2025-04,1,38500.0,38500.0,1
P2P-13997bfq,2025-05,1,8000.0,8000.0,1
P2P-14f1f0rf,2025-05,1,217.75,217.75,1
P2P-1592ddyd,2025-03,2,59800.0,29900.0,1
P2P-1659ee7f,2025-05,1,22335.28,22335.28,1
P2P-16d3d2ak,2025-03,1,201.01,201.01,1
