Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv,high_volume_vip,high_frequency_vip,daily_trader,long_term_trader,vip_score,vip_tier
NicoGonzalezUy,3,68374.33,22791.443333333333,21902.19,1580.1399999999999,43.28,0.4573838650411725,2025-05-09T19:37:17.000000-0300,2025-05-23T13:53:26.000000-0300,2,1,13,0.21428571428571427,4883.880714285714,0.010568019062873671,true,true,false,false,74.71232876712328,Gold
P2P-426ff1qp,5,90290.92,18058.184,21700.0,1941.4499999999998,46.54600000000001,0.5488897885732589,2025-04-04T18:58:08.000000-0300,2025-04-15T17:23:08.000000-0300,2,1,10,0.45454545454545453,8208.265454545455,0.01179241585900526,true,true,false,false,74.54794520547945,Gold
Cmanuel_uy,3,103810.0,34603.333333333336,28500.0,2413.96,43.00666666666667,0.028867513459479646,2025-05-19T19:41:37.000000-0300,2025-05-28T15:22:45.000000-0300,2,1,8,0.3333333333333333,11534.444444444445,0.0006712334551111373,true,true,false,false,74.43835616438356,Gold
BolsoChange,3,152263.79,50754.59666666667,41963.79,6617.780000000001,28.783,24.025841650189907,2025-05-19T00:48:12.000000-0300,2025-05-25T20:33:49.000000-0300,2,2,6,0.42857142857142855,21751.97,0.8347233314869856,true,true,false,false,74.32876712328768,Gold
P2P-993631ii,2,80660.0,40330.0,40330.0,1729.22,46.3,0.989949493661168,2025-04-04T20:03:51.000000-0300,2025-04-09T18:11:52.000000-0300,2,1,4,0.4,16132.0,0.021381198567195853,true,true,false,false,74.21917808219177,Gold
P2P-0dc8a3t7,3,225500.0,75166.66666666667,93500.0,4806.83,46.89000000000001,0.10148891565092642,2025-04-09T20:09:23.000000-0300,2025-04-10T13:14:21.000000-0300,2,1,0,3.0,225500.0,0.002164404257857249,true,true,true,false,74.0,Gold
P2P-b3bd895x,2,201170.48,100585.24,100585.24,4408.110000000001,45.625,0.03535533905932537,2025-04-04T14:02:31.000000-0300,2025-04-04T15:09:06.000000-0300,2,1,0,2.0,201170.48,0.0007749115410263095,true,true,true,false,74.0,Gold
P2P-2f1f56dq,2,100000.0,50000.0,50000.0,2146.84,46.58,0.014142135623735673,2025-04-15T16:05:16.000000-0300,2025-04-15T18:37:34.000000-0300,2,1,0,2.0,100000.0,0.0003036096097839346,true,true,true,false,74.0,Gold
P2P-863acelf,3,90000.0,30000.0,30000.0,1987.19,45.29333333333333,0.5080682368868711,2025-04-28T18:01:00.000000-0300,2025-04-28T23:03:18.000000-0300,2,1,0,3.0,90000.0,0.011217285182960062,true,true,true,false,74.0,Gold
P2P-316feaqf,2,75683.2,37841.6,37841.6,1602.1,47.24,0.0,2025-04-09T19:39:01.000000-0300,2025-04-09T19:53:54.000000-0300,2,1,0,2.0,75683.2,0.0,true,true,true,false,74.0,Gold
P2P-2d243a5d,8,409307.29,51163.41125,48355.83500000001,8892.92,45.89875,0.9667831415871585,2025-03-20T18:58:09.000000-0300,2025-04-13T20:01:15.000000-0300,1,1,24,0.32,16372.291599999999,0.02106338716385868,true,true,false,false,73.31506849315069,Gold
arielo,3,102000.0,34000.0,20000.0,2235.92,46.31333333333333,1.4023313921228953,2025-03-19T19:29:37.000000-0300,2025-04-09T20:20:41.000000-0300,1,1,21,0.13636363636363635,4636.363636363636,0.030279215318617287,true,true,false,false,73.15068493150685,Gold
P2P-296841xk,3,58814.479999999996,19604.826666666664,23557.35,1290.1499999999999,45.96666666666667,1.5519127982374943,2025-03-26T17:30:10.000000-0300,2025-04-15T20:08:22.000000-0300,1,1,20,0.14285714285714285,2800.6895238095235,0.03376169974410792,true,true,false,false,73.0958904109589,Gold
P2P-2e4c1f9q,4,151974.88999999998,37993.722499999996,32944.17,3304.22,46.29,1.3076951734508544,2025-03-29T15:40:10.000000-0300,2025-04-08T18:47:01.000000-0300,1,1,10,0.36363636363636365,13815.89909090909,0.028250057754393054,true,true,false,false,72.54794520547945,Gold
P2P-995f9drw,3,68650.0,22883.333333333332,22550.0,1496.38,45.876666666666665,1.2940376089331176,2025-03-31T17:34:52.000000-0300,2025-04-09T16:09:57.000000-0300,1,1,8,0.3333333333333333,7627.777777777777,0.028206879508823314,true,true,false,false,72.43835616438356,Gold
P2P-20ef4338,10,263082.0,26308.2,22383.5,6063.219999999999,43.588,0.3323585747686107,2025-05-09T21:52:57.000000-0300,2025-05-16T17:49:28.000000-0300,1,1,6,1.4285714285714286,37583.142857142855,0.007625001715348506,true,true,false,false,72.32876712328768,Gold
P2P-2c9a22fw,4,136751.62,34187.905,37745.475,2904.2,47.05500000000001,0.23853720883753388,2025-04-09T19:18:35.000000-0300,2025-04-14T20:48:42.000000-0300,1,1,5,0.6666666666666666,22791.936666666665,0.005069327570662711,true,true,false,false,72.27397260273973,Gold
P2P-c5525bjo,2,80000.0,40000.0,40000.0,1730.54,46.29,0.9758073580374323,2025-04-04T19:52:55.000000-0300,2025-04-08T17:49:39.000000-0300,1,1,3,0.5,20000.0,0.02108030585520485,true,true,false,false,72.16438356164383,Gold
P2P-3b48abgq,3,57367.22,19122.406666666666,22000.0,1295.51,44.31666666666666,0.2020725942163647,2025-03-31T15:13:21.000000-0300,2025-04-03T15:53:42.000000-0300,1,1,3,0.75,14341.805,0.004559742629929252,true,true,false,false,72.16438356164383,Gold
P2P-52dcddtt,5,103066.17,20613.234,18028.57,2206.25,46.593999999999994,0.3523918273740153,2025-04-06T17:03:37.000000-0300,2025-04-08T17:23:35.000000-0300,1,1,2,1.6666666666666667,34355.39,0.007563030162124208,true,true,false,false,72.10958904109589,Gold
P2P-f098e2bh,4,133040.0,33260.0,33260.0,3077.23,43.235,0.29000000000000214,2025-05-22T23:26:42.000000-0300,2025-05-23T23:28:46.000000-0300,1,1,1,2.0,66520.0,0.006707528622643741,true,true,true,false,72.05479452054794,Gold
P2P-3db9b5mh,2,99000.0,49500.0,49500.0,2247.2,44.08,0.18384776310849843,2025-04-30T20:58:15.000000-0300,2025-05-02T16:33:48.000000-0300,1,1,1,1.0,49500.0,0.004170775025147424,true,true,false,false,72.05479452054794,Gold
P2P-91cd57bv,2,135881.94,67940.97,67940.97,3050.1000000000004,44.55,0.0,2025-04-03T15:59:59.000000-0300,2025-04-03T16:20:57.000000-0300,1,1,0,2.0,135881.94,0.0,true,true,true,false,72.0,Gold
P2P-2eea6665,5,129000.0,25800.0,30000.0,2759.9199999999996,46.74,0.0,2025-04-14T19:55:43.000000-0300,2025-04-14T20:54:51.000000-0300,1,1,0,5.0,129000.0,0.0,true,true,true,false,72.0,Gold
P2P-516e5080,3,112852.98000000001,37617.66,37633.32,2402.1499999999996,46.98,0.0,2025-04-08T17:04:59.000000-0300,2025-04-08T18:26:13.000000-0300,1,1,0,3.0,112852.98000000001,0.0,true,true,true,false,72.0,Gold
IluminaTuAlma,2,108000.0,54000.0,54000.0,2392.02,45.15,0.0,2025-04-02T20:06:01.000000-0300,2025-04-02T20:21:32.000000-0300,1,1,0,2.0,108000.0,0.0,true,true,true,false,72.0,Gold
P2P-5249e3nq,2,107349.84,53674.92,53674.92,2402.1,44.69,0.0,2025-04-01T19:59:11.000000-0300,2025-04-01T20:10:47.000000-0300,1,1,0,2.0,107349.84,0.0,true,true,true,false,72.0,Gold
P2P-b78d47da,2,100765.07999999999,50382.53999999999,50382.53999999999,2153.1,46.8,0.0,2025-04-09T13:09:32.000000-0300,2025-04-09T13:28:44.000000-0300,1,1,0,2.0,100765.07999999999,0.0,true,true,true,false,72.0,Gold
P2P-181cf8np,2,86000.0,43000.0,43000.0,2002.32,42.95,0.0,2025-05-22T15:33:16.000000-0300,2025-05-22T16:16:27.000000-0300,1,1,0,2.0,86000.0,0.0,true,true,true,false,72.0,Gold
P2P-610493l6,2,79463.16,39731.58,39731.58,1788.1,44.44,0.0,2025-04-01T15:49:57.000000-0300,2025-04-01T16:37:08.000000-0300,1,1,0,2.0,79463.16,0.0,true,true,true,false,72.0,Gold
P2P-9bf649pi,2,75283.32,37641.66,37641.66,1602.4499999999998,46.98,0.0,2025-04-08T17:06:30.000000-0300,2025-04-08T18:31:05.000000-0300,1,1,0,2.0,75283.32,0.0,true,true,true,false,72.0,Gold
P2P-eaef2b3q,2,75266.64,37633.32,37633.32,1602.1,46.98,0.0,2025-04-08T17:08:10.000000-0300,2025-04-08T17:23:40.000000-0300,1,1,0,2.0,75266.64,0.0,true,true,true,false,72.0,Gold
P2P-95cdffle,2,74938.22,37469.11,37469.11,1602.1,46.775,0.03535533905932537,2025-04-09T14:53:33.000000-0300,2025-04-09T16:07:13.000000-0300,1,1,0,2.0,74938.22,0.0007558597340315419,true,true,true,false,72.0,Gold
P2P-b0b58ctm,3,73686.42,24562.14,26210.34,1572.1499999999999,46.85999999999999,0.10392304845413504,2025-04-08T18:10:26.000000-0300,2025-04-09T15:58:32.000000-0300,1,1,0,3.0,73686.42,0.002217734708795029,true,true,true,false,72.0,Gold
P2P-b9b3b7w9,2,67481.12,33740.56,33740.56,1442.21,46.79,0.0,2025-04-14T15:35:54.000000-0300,2025-04-14T16:08:03.000000-0300,1,1,0,2.0,67481.12,0.0,true,true,true,false,72.0,Gold
P2P-582794jb,2,65400.0,32700.0,32700.0,1463.08,44.7,0.0,2025-05-02T18:36:26.000000-0300,2025-05-02T18:58:56.000000-0300,1,1,0,2.0,65400.0,0.0,true,true,true,false,72.0,Gold
P2P-17e72ffv,4,64442.619999999995,16110.654999999999,16110.654999999999,1390.6399999999999,46.34,0.0,2025-04-06T17:48:48.000000-0300,2025-04-06T18:35:20.000000-0300,1,1,0,4.0,64442.619999999995,0.0,true,true,true,false,72.0,Gold
