YearMonthStr,monthly_volume
2022-04,1239898.3899999994
2022-05,2185483.3499999987
2022-06,2445726.12
2022-07,1122707.2899999998
2022-08,473333.3599999998
2022-09,1101604.55
2022-10,671267.85
2022-11,447070.73000000004
2022-12,366177.24
2023-01,180082.30000000002
2023-02,54377.19
2023-03,182620.06000000006
2023-04,1391239.2999999998
2023-05,722084.3600000002
2023-06,288074.8499999999
2023-07,147102.24
2023-08,145839.31
2023-09,103455.33000000002
2023-10,177944.57
2023-11,1612884.61
2023-12,4259960.700000001
2024-01,255922.90999999997
2024-02,228388.55999999994
2024-03,413908.8299999999
2024-04,263304.14
2024-05,213473.93000000002
2024-06,60945.14
2024-07,84805.97
2024-08,43270.399999999994
2024-09,16726.74
2024-10,38983.05999999999
2024-12,24755.04
2025-01,6067.95
2025-03,5878559.540000002
2025-04,8531319.41
2025-05,2690113.2099999995
