Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
,3262,1.5987124463519313,7898.260925812375,17,405786.10000000003,7.34749642346209
P2P-2d243a5d,7,1.1428571428571428,58472.47000000001,2,112510.8,6.121428571428572
P2P-20ef4338,6,1.6666666666666667,43847.0,5,68767.0,13.08611111111111
emilianochinelli,5,1.0,833.9619999999999,1,2576.0,0.0
P2P-426ff1qp,5,1.0,18058.184,1,23186.0,0.0
CRYPTOURU,4,1.0,9250.0,1,12000.0,0.0
P2P-f098e2bh,4,1.0,33260.0,1,33260.0,0.0
poul35,3,1.0,140.07333333333332,1,156.1,0.0
master1835,3,1.0,3033.3333333333335,1,4900.0,0.0
P2P-53408c34,3,1.0,16340.849999999999,1,21669.42,0.0
BolsoChange,3,1.0,50754.59666666667,1,107000.0,0.0
P2P-d17b99yo,3,1.0,1175.44,1,1513.44,0.0
P2P-bddabebg,3,1.0,6190.666666666667,1,8000.0,0.0
Shorminoguez,3,1.0,361.6866666666667,1,567.46,0.0
Christian,3,1.0,470.1666666666667,1,804.0,0.0
P2P-296841xk,3,1.0,19604.826666666664,1,28732.21,0.0
P2P-995f9drw,3,1.0,22883.333333333332,1,23900.0,0.0
NicoGonzalezUy,3,1.0,22791.443333333333,1,25000.0,0.0
juanjdp,3,1.0,773.6633333333333,1,1322.04,0.0
P2P-6b3180cp,3,1.0,1183.0566666666666,1,1601.54,0.0
P2P-db68f5rk,3,1.0,232.39666666666668,1,272.1,0.0
P2P-0dc8a3t7,3,1.0,75166.66666666667,1,94000.0,0.0
P2P-b0b58ctm,3,1.0,24562.14,1,28660.14,0.0
P2P-320874cy,3,1.0,7467.386666666666,1,8750.0,0.0
P2P-da5414sr,2,1.0,17950.0,1,18000.0,0.0
P2P-a07dd4pq,2,1.0,22446.289999999997,1,37498.34,0.0
P2P-2e4c1f9q,2,2.0,75987.44499999999,3,98776.68,48.4
P2P-52dcddtt,2,2.5,51533.085,3,61078.68,71.5
Papi Greco,2,1.0,372.97,1,400.49,0.0
P2P-c9b50df9,2,1.0,5859.0,1,5859.0,0.0
P2P-8ee834xt,2,1.0,13139.165,1,13200.0,0.0
BoogieMan2K,2,1.5,778.8249999999999,2,1040.1,9.433333333333334
P2P-2f1f56dq,2,1.0,50000.0,1,50000.0,0.0
P2P-85f40bca,2,1.5,21525.0,2,25600.0,9.275
P2P-45c2907o,2,1.0,9000.0,1,10000.0,0.0
P2P-6ba210ay,2,1.0,9000.0,1,10000.0,0.0
P2P-5d7a64dj,2,1.0,292.375,1,293.28,0.0
P2P-9003fcxt,2,1.5,11750.0,2,15000.0,8.066666666666666
P2P-3f709fmu,2,1.0,12017.5,1,18905.0,0.0
P2P-a109deob,2,1.0,3645.975,1,7116.95,0.0
P2P-437910jt,2,1.0,9327.65,1,12488.44,0.0
Criptobuy,2,1.0,2387.505,1,3532.35,0.0
P2P-d21c47dq,2,1.0,131.32,1,150.0,0.0
P2P-2974e3qc,2,1.0,8523.029999999999,1,8610.15,0.0
P2P-8aa8aepp,2,1.0,20000.0,1,20000.0,0.0
P2P-7d4ea08o,2,1.0,8750.0,1,8800.0,0.0
P2P-76b381xc,2,1.0,15275.5,1,20551.0,0.0
P2P-8dfecavb,2,1.0,21009.825,1,28046.33,0.0
