session_id,session_start_hour,session_end_hour,total_ops,total_volume,hour_span
2099,10,10,1,8000.0,0
1182,17,17,1,3100.0,0
3430,21,21,2,52805.0,0
411,17,17,1,644.8,0
3302,11,11,3,2583.7799999999997,0
1855,12,11,3,4330.84,1
417,19,19,1,80.77,0
2891,23,23,1,420.0,0
1968,17,17,2,1389.0,0
2102,16,16,1,4000.0,0
21,18,18,2,5894.5,0
1444,19,19,2,2500.0,0
1194,11,11,1,200.0,0
545,20,20,1,200.0,0
1843,19,20,9,10900.970000000001,1
1188,12,12,1,690.0,0
2766,17,17,1,780.0,0
1447,13,13,3,3287.5,0
268,12,12,2,7143.28,0
2129,13,12,4,4519.0,1
3165,12,12,2,1231.44,0
2370,16,16,2,760.0,0
2781,17,18,2,5544.84,1
2513,22,22,2,3499.48,0
3156,18,18,1,211.0,0
2382,23,23,1,600.0,0
1075,15,15,1,996.0,0
3150,12,12,1,323.0,0
929,1,1,1,45795.55,0
283,22,22,1,1200.0,0
2626,2,2,1,7000.0,0
274,19,19,2,3250.0,0
661,20,20,1,55.24,0
947,20,20,1,1399.92,0
1605,18,18,1,543.0,0
2647,22,22,1,500.0,0
2105,21,21,2,51637.0,0
3415,19,19,1,15254.66,0
798,16,16,1,1249.8,0
2391,11,11,1,400.0,0
414,13,13,2,232.5,0
1334,12,12,3,2565.71,0
1983,19,19,1,6733.48,0
1602,13,13,1,200.0,0
920,22,22,1,2346.83,0
1191,12,12,1,100.95,0
1313,15,15,1,400.0,0
658,16,16,1,5000.0,0
1468,19,19,1,450.0,0
667,19,19,2,50000.0,0
2897,20,20,1,393.0,0
2522,16,16,1,800.0,0
3409,19,19,1,500.0,0
2361,23,23,1,250.0,0
1596,9,9,1,208.53,0
1971,21,21,1,800.0,0
2495,12,12,2,900.0,0
3147,16,16,1,500.0,0
3,9,10,7,15994.0,1
3427,16,16,1,285.0,0
1474,12,12,1,793.52,0
3153,20,20,2,656.95,0
3040,12,12,1,770.0,0
676,19,19,1,49.55,0
2888,11,11,1,1605.0,0
551,16,16,1,140.0,0
1998,14,14,1,1000.0,0
1974,10,10,1,311.0,0
2909,23,23,1,251.0,0
2760,20,20,1,2000.0,0
1054,13,13,1,1208.97,0
3436,20,20,1,5000.0,0
2501,23,23,1,500.0,0
3177,16,16,1,1495.45,0
152,18,18,1,3741.84,0
24,9,9,1,12480.0,0
1718,10,10,1,110.0,0
688,11,11,1,180.2,0
932,12,12,2,662.71,0
2653,11,11,2,2000.0,0
1343,12,11,2,1991.0,1
2754,16,16,1,1328.85,0
3278,19,19,1,300.84,0
1203,19,19,2,305.0,0
2364,20,20,2,400.0,0
271,15,15,1,4198.0,0
2519,10,10,1,254.74,0
1837,12,12,2,440.0,0
3028,11,11,1,1000.0,0
3293,17,17,2,28888.93,0
1712,14,14,1,200.0,0
402,14,14,1,453.28,0
3308,14,14,2,42610.509999999995,0
944,11,11,2,1241.24,0
804,15,15,2,74.07,0
1456,18,18,1,290.36,0
155,20,20,1,11850.0,0
1340,22,22,1,436.48,0
557,17,17,1,2900.0,0
1471,22,22,1,200.0,0
1331,23,23,1,509.56,0
1578,19,19,1,205.8,0
1730,20,20,2,1695.98,0
1081,15,16,4,47282.13,1
2120,14,14,1,240.0,0
149,22,23,2,6881.39,1
2772,12,12,1,400.0,0
941,12,12,1,105.81,0
795,23,0,4,15804.0,23
1322,22,22,2,1272.5900000000001,0
1206,23,23,1,383.52,0
286,15,14,3,125640.31999999999,1
1051,8,8,1,481.0,0
2260,10,11,3,29111.0,1
2775,9,9,1,770.0,0
2906,15,15,1,1500.0,0
3022,13,13,1,1000.0,0
3162,16,16,1,3198.0,0
1185,13,13,1,107.25,0
396,13,13,2,1550.0,0
1989,13,13,2,750.0,0
3299,20,20,1,120.18,0
2111,14,14,3,132500.0,0
1736,14,13,3,413.99,1
2912,11,11,1,297.3,0
2629,10,10,2,9056.76,0
938,8,8,1,194.2,0
2248,18,18,1,300.0,0
2114,20,20,1,7000.0,0
1590,18,18,2,627.24,0
18,11,12,3,4041.34,1
2769,23,23,1,403.0,0
1858,15,15,1,200.0,0
3043,18,18,1,400.0,0
1715,10,10,1,106.61,0
1587,10,10,1,304.16,0
1197,13,13,1,200.0,0
1200,14,14,1,3000.0,0
2230,19,19,1,1447.6,0
158,16,16,1,810.2,0
3439,17,17,1,312.0,0
685,17,17,1,25.0,0
1733,13,13,1,2030.0,0
2763,13,13,1,279.54,0
423,13,13,1,362.48,0
789,21,21,1,2350.0,0
2388,3,3,2,1000.0,0
1581,14,14,1,1207.43,0
30,15,15,1,3600.0,0
536,19,19,1,28500.0,0
2632,17,17,1,3000.0,0
3016,13,13,2,742.96,0
950,14,14,1,2009.4,0
2510,13,13,1,1600.0,0
816,13,13,2,2666.0,0
3287,18,18,4,21848.0,0
1069,9,9,2,2381.4,0
1459,22,22,1,595.91,0
1316,15,15,1,100.0,0
1325,18,18,1,857.33,0
1724,13,13,1,500.0,0
1462,18,18,1,277.34,0
2635,12,12,1,600.0,0
2638,14,14,2,2700.0,0
3296,15,15,1,251.44,0
2894,14,13,2,9150.0,1
3290,22,22,3,47725.32,0
1453,23,23,2,700.0,0
2498,17,17,3,5046.82,0
673,8,8,1,71.17,0
542,14,14,1,44100.0,0
1057,15,15,1,4401.6,0
2242,23,23,1,21000.0,0
539,11,10,2,36070.0,1
1209,13,13,1,154.35,0
2385,10,10,1,520.0,0
1852,0,0,1,200.0,0
2257,16,16,1,1000.0,0
679,19,19,1,309.0,0
935,15,15,3,2064.48,0
420,18,18,1,300.0,0
137,15,15,1,4513.0,0
1066,16,16,1,450.0,0
1849,17,16,5,1920.0,1
1072,20,20,1,252.45,0
146,15,15,1,5000.0,0
399,9,9,1,2500.0,0
3025,16,16,1,200.0,0
664,6,6,1,109.2,0
3412,13,13,1,26726.22,0
792,18,18,1,78.6,0
2757,16,16,1,100.0,0
1599,20,20,1,368.04,0
1584,18,18,1,1015.91,0
1319,15,15,1,556.72,0
6,15,15,1,1150.0,0
3433,14,13,2,1665.1200000000001,1
2108,10,10,2,20599.83,0
801,8,8,1,164.99,0
1727,1,1,1,891.9,0
923,13,13,1,250.15,0
1977,20,20,1,250.0,0
405,18,18,1,43000.0,0
2900,11,11,1,805.46,0
3037,22,22,1,449.0,0
1328,21,21,1,500.0,0
3305,17,17,1,108.09,0
1864,18,18,1,493.0,0
3168,13,13,1,387.11,0
527,14,14,2,17450.0,0
15,12,11,10,33664.03,1
3281,14,14,1,29900.0,0
2784,18,18,2,3000.0,0
1709,20,20,1,861.77,0
1986,9,9,1,400.0,0
3034,15,15,1,1860.58,0
1992,16,16,1,5165.0,0
2236,13,14,5,8064.01,1
292,14,14,1,1287.0,0
289,1,1,1,600.0,0
813,22,23,2,104.5,1
1861,12,12,1,210.0,0
682,23,23,1,258.2,0
1867,12,12,1,763.19,0
1593,18,18,2,8457.58,0
548,10,10,3,30783.0,0
1575,11,11,1,200.0,0
2126,23,23,1,500.0,0
1706,16,16,1,2000.0,0
2245,12,13,3,3500.0,1
2623,15,15,1,8709.99,0
2507,23,23,1,1200.0,0
530,20,20,1,15624.0,0
2251,14,13,7,181550.0,1
3031,16,16,1,1300.0,0
3019,22,22,1,410.0,0
2233,19,19,1,200.0,0
1840,14,14,1,300.0,0
2123,19,19,2,2300.0,0
926,8,8,1,112.26,0
2504,12,12,1,1003.0,0
533,0,0,1,59.67,0
2903,0,0,1,220.07,0
1212,13,13,1,4996.58,0
1980,15,15,1,250.0,0
1337,19,19,1,153.76,0
3284,12,12,2,81000.0,0
670,18,18,1,625.5,0
2492,19,19,1,400.0,0
1450,10,10,2,451.02,0
2379,18,18,1,3150.0,0
2239,17,17,4,30949.99,0
2376,13,13,1,1500.0,0
810,13,13,1,752.55,0
2915,12,12,1,420.64,0
9,11,11,2,2704.0,0
554,18,18,1,197.0,0
12,15,15,1,1245.0,0
265,19,18,7,37711.43,1
1995,23,23,1,200.0,0
819,18,18,1,150.0,0
143,21,21,1,1260.0,0
3159,18,18,1,994.95,0
3174,21,21,1,299.1,0
3171,21,21,1,361.86,0
1063,19,19,1,800.0,0
3046,12,12,1,400.0,0
2778,13,13,1,438.68,0
2516,13,13,1,500.0,0
3421,18,18,2,65400.0,0
807,20,20,1,500.0,0
161,1,1,1,192.0,0
3424,21,21,1,5572.0,0
2373,10,10,1,200.0,0
277,23,23,1,13000.0,0
2650,20,20,1,5495.99,0
426,19,19,1,100.0,0
2644,17,17,1,400.0,0
3418,15,15,1,5000.0,0
2367,11,11,1,1476.83,0
2641,21,21,1,1768.0,0
2117,10,10,2,3240.0,0
1465,14,14,1,637.05,0
2885,12,12,2,800.0,0
140,20,21,3,110346.76,1
1846,12,12,1,1500.0,0
280,16,16,1,10000.0,0
2254,19,19,1,20000.0,0
134,14,14,1,44760.0,0
27,17,18,6,37569.97,1
1078,12,12,1,2465.6,0
408,14,14,1,341.28,0
1721,18,18,1,102.25,0
1060,13,13,1,495.0,0
1346,14,14,1,989.36,0
974,20,20,1,1490.39,0
2668,12,12,2,3000.0,0
1873,18,18,1,200.0,0
453,17,18,3,49436.2,1
325,9,9,1,3951.0,0
1891,21,22,2,1205.21,1
828,23,23,1,45872.57,0
2022,15,15,1,294.0,0
316,13,13,1,592.8,0
2683,18,18,1,5600.0,0
2147,21,22,8,32154.059999999998,1
3067,17,17,1,1100.0,0
2531,14,14,1,1200.8,0
572,20,20,1,1000.0,0
1748,13,13,1,300.0,0
3332,13,13,1,7630.0,0
1480,21,21,1,200.0,0
1888,17,16,4,4000.0,1
1766,9,9,1,384.0,0
3466,18,18,3,1117.55,0
1885,10,10,2,10000.0,0
1245,22,22,1,300.0,0
3454,18,18,3,25726.0,0
1495,18,18,1,2080.0,0
1349,18,18,1,266.25,0
3079,16,16,1,400.0,0
2409,16,17,4,3011.5,1
3451,14,14,2,40208.25,0
837,23,23,2,4000.0,0
63,15,15,2,2919.0,0
2016,17,17,1,300.0,0
2948,17,17,1,400.0,0
2939,15,15,1,249.75,0
2293,10,10,1,1100.0,0
2278,14,14,1,2245.0,0
2135,19,20,2,4486.0,1
1233,16,16,1,860.0,0
956,14,14,1,393.2,0
3472,12,12,4,36098.44,0
2552,15,15,2,2500.0,0
840,17,17,1,8370.0,0
1096,12,12,2,9496.0,0
179,17,16,3,1535.04,1
2019,21,21,1,500.0,0
825,16,16,1,28630.0,0
1477,16,16,1,1029.02,0
1489,20,20,1,134.55,0
2540,11,11,1,1000.0,0
45,20,20,2,2165.1,0
3338,22,22,1,248.69,0
1230,23,23,1,200.0,0
2412,22,22,1,1050.0,0
1361,23,22,4,10600.0,1
2927,14,14,2,483.11,0
3320,20,19,3,133925.75,1
1638,16,16,1,111.4,0
2275,14,14,1,1100.0,0
1108,18,18,1,80750.0,0
560,23,23,1,4500.0,0
2269,19,19,2,4580.0,0
3314,11,11,1,20000.0,0
834,17,17,1,415.11,0
983,11,11,1,133.25,0
313,20,20,3,5898.09,0
1373,10,9,3,1800.0,1
3195,16,16,1,9038.25,0
2933,17,17,1,598.2,0
1617,23,23,1,404.59,0
3335,19,18,18,312343.51,4
1498,12,12,2,8000.0,0
1769,12,12,5,11258.560000000001,0
2281,18,18,1,394.0,0
1611,15,15,1,1700.0,0
563,17,17,3,77328.36,0
977,7,7,1,264.49,0
2025,19,20,4,1742.0,1
164,23,23,1,501.15,0
2659,14,14,2,3501.46,0
1614,16,16,1,418.78,0
1224,13,13,1,150.0,0
1608,9,9,2,478.33000000000004,0
1635,16,16,1,1299.06,0
843,22,22,1,2035.0,0
1105,21,21,2,120000.0,0
3049,17,17,2,613.94,0
822,11,11,1,3977.0,0
450,15,15,1,300.0,0
182,8,8,1,879.9,0
1623,21,21,1,169.21,0
2674,21,21,1,2000.0,0
310,21,21,1,13760.0,0
298,18,18,2,44100.0,0
2814,12,12,1,527.08,0
2418,13,13,1,1000.0,0
3073,16,16,1,300.0,0
2263,9,9,2,3150.0,0
188,17,17,2,100833.68,0
1620,14,14,1,352.12,0
1084,11,11,1,10000.0,0
3329,11,11,1,7630.0,0
2537,16,16,1,649.76,0
2808,19,19,1,3365.0,0
2406,11,11,2,1009.47,0
566,16,16,1,4130.9,0
575,15,15,2,1686.0,0
715,18,18,2,612.5,0
846,16,16,1,100.0,0
2534,20,20,1,1000.0,0
1355,17,17,2,5069.83,0
54,14,15,4,7422.73,1
1507,10,11,3,3661.91,1
2266,12,11,2,610.0,1
3463,13,13,1,200.0,0
39,12,12,1,2088.5,0
3058,12,12,1,1855.05,0
3317,14,16,16,261921.11,2
1352,12,12,4,2641.52,0
301,16,16,3,14494.0,0
2287,19,19,1,320.0,0
2007,16,16,2,416.0,0
170,15,15,1,502.28,0
2397,17,17,1,4000.0,0
584,21,21,1,2749.18,0
2787,11,10,3,4600.0,1
42,17,17,1,1044.25,0
2790,18,18,2,1100.0,0
1757,20,20,1,150.0,0
581,18,18,1,100.0,0
