start_hour,num_sessions,total_volume,avg_duration,avg_operations
0,50,219626.83000000002,0.09866666666666665,1.04
1,30,244103.25000000003,2.038888888888889,1.1333333333333333
2,6,20846.41,0.0,1.0
3,12,32899.89,3.091666666666667,1.25
4,9,13151.64,0.0,1.0
5,10,9991.16,0.0,1.0
6,9,9289.74,2.6796296296296296,1.1111111111111112
7,12,23064.03,2.3291666666666666,1.0833333333333333
8,54,83737.22,5.257098765432098,1.3703703703703705
9,124,339414.23,5.823521505376346,1.4919354838709677
10,168,740126.8000000002,9.511309523809526,1.7261904761904763
11,207,1400341.5099999995,7.811272141706923,1.6859903381642511
12,261,2225168.51,9.3007662835249,1.8007662835249043
13,279,3397370.7599999984,11.231839904420552,1.939068100358423
14,282,3643788.230000002,8.768085106382976,1.7375886524822695
15,295,3594745.3000000007,9.42344632768362,1.7559322033898306
16,303,5244017.94,10.040869086908687,1.9075907590759076
17,257,3237388.0600000005,8.228664072632943,1.7392996108949417
18,246,4065028.28,9.221680216802165,1.8739837398373984
19,254,4014476.019999999,8.600524934383198,1.7440944881889764
20,212,2573812.0399999996,6.084355345911949,1.509433962264151
21,185,1352247.9299999997,5.409279279279279,1.427027027027027
22,140,702209.1699999998,4.5007142857142854,1.4285714285714286
23,122,882633.5799999998,2.8741803278688525,1.3032786885245902
